 ,Year,Month,Day,水日通量,沙日通量,,,
2016-5-4,2016,5,4,33696000,33696000,,,
2016-5-5,2016,5,5,33091200,39378528,,,
2016-5-6,2016,5,6,42336000,30312576,,,
2016-5-7,2016,5,7,40608000,27451008,,,
2016-5-8,2016,5,8,39052800,30929817.6,,,
2016-5-9,2016,5,9,39052800,24915686.4,,,
2016-5-10,2016,5,10,39830400,20950790.4,,,
2016-5-11,2016,5,11,37411200,30789417.6,,,
2016-5-12,2016,5,12,35856000,25457760,,,
2016-5-13,2016,5,13,34300800,23736153.6,,,
2016-5-14,2016,5,14,35078400,27010368,,,
2016-5-15,2016,5,15,35856000,21244680,,,
2016-5-16,2016,5,16,35078400,20976883.2,,,
2016-5-17,2016,5,17,33523200,26550374.4,,,
2016-5-18,2016,5,18,32832000,25247808,,,
2016-5-19,2016,5,19,32832000,23409216,,,
2016-5-20,2016,5,20,32054400,17277321.6,,,
2016-5-21,2016,5,21,32054400,19937836.8,,,
2016-5-22,2016,5,22,30585600,17678476.8,,,
2016-5-23,2016,5,23,34473600,25441516.8,,,
2016-5-24,2016,5,24,33264000,17829504,,,
2016-5-25,2016,5,25,32140800,17677440,,,
2016-5-26,2016,5,26,31017600,15291676.8,,,
2016-5-27,2016,5,27,28944000,13806288,,,
2016-5-28,2016,5,28,29980800,15050361.6,,,
2016-5-29,2016,5,29,29980800,14900457.6,,,
2016-5-30,2016,5,30,28944000,14761440,,,
2016-5-31,2016,5,31,28944000,17279568,,,
2016-6-1,2016,6,1,31017600,16842556.8,,,
2016-6-2,2016,6,2,29980800,15530054.4,,,
2016-6-3,2016,6,3,29980800,17658691.2,,,
2016-6-4,2016,6,4,31017600,16191187.2,,,
2016-6-5,2016,6,5,31017600,19386000,,,
2016-6-6,2016,6,6,27907200,14455929.6,,,
2016-6-7,2016,6,7,27388800,13557456,,,
2016-6-8,2016,6,8,24192000,13644288,,,
2016-6-9,2016,6,9,25056000,12477888,,,
2016-6-10,2016,6,10,25056000,12001824,,,
2016-6-11,2016,6,11,26438400,10786867.2,,,
2016-6-12,2016,6,12,25488000,13177296,,,
2016-6-13,2016,6,13,25488000,10934352,,,
2016-6-14,2016,6,14,26956800,11294899.2,,,
2016-6-15,2016,6,15,24192000,9725184,,,
2016-6-16,2016,6,16,23328000,9774432,,,
2016-6-17,2016,6,17,16329600,6417532.8,,,
2016-6-18,2016,6,18,17452800,7399987.2,,,
2016-6-19,2016,6,19,22291200,9562924.8,,,
2016-6-20,2016,6,20,36633600,38098944,,,
2016-6-21,2016,6,21,49939200,80901504,,,
2016-6-22,2016,6,22,64713600,116484480,,,
2016-6-23,2016,6,23,65664000,97182720,,,
2016-6-24,2016,6,24,65664000,110972160,,,
2016-6-25,2016,6,25,63849600,81727488,,,
2016-6-26,2016,6,26,59443200,69548544,,,
2016-6-27,2016,6,27,64713600,104188896,,,
2016-6-28,2016,6,28,63849600,85239216,,,
2016-6-29,2016,6,29,63849600,97689888,,,
2016-6-30,2016,6,30,64713600,84127680,,,
2016-7-1,2016,7,1,69292800,105325056,,,
2016-7-2,2016,7,2,59443200,75492864,,,
2016-7-3,2016,7,3,51580800,65507616,,,
2016-7-4,2016,7,4,47779200,45008006.4,,,
2016-7-5,2016,7,5,51580800,48279628.8,,,
2016-7-6,2016,7,6,66528000,97130880,,,
2016-7-7,2016,7,7,66355200,120102912,,,
2016-7-8,2016,7,8,80784000,212461920,,,
2016-7-9,2016,7,9,87264000,231249600,,,
2016-7-10,2016,7,10,72662400,127159200,,,
2016-7-11,2016,7,11,63244800,98029440,,,
2016-7-12,2016,7,12,60134400,94411008,,,
2016-7-13,2016,7,13,60134400,96816384,,,
2016-7-14,2016,7,14,60912000,77358240,,,
2016-7-15,2016,7,15,64800000,99792000,,,
2016-7-16,2016,7,16,65577600,90497088,,,
2016-7-17,2016,7,17,68688000,122264640,,,
2016-7-18,2016,7,18,71884800,102076416,,,
2016-7-19,2016,7,19,74304000,109226880,,,
2016-7-20,2016,7,20,87264000,271391040,,,
2016-7-21,2016,7,21,77673600,141365952,,,
2016-7-22,2016,7,22,78451200,137289600,,,
2016-7-23,2016,7,23,89856000,198581760,,,
2016-7-24,2016,7,24,109728000,302849280,,,
2016-7-25,2016,7,25,119232000,385119360,,,
2016-7-26,2016,7,26,126144000,367079040,,,
2016-7-27,2016,7,27,130464000,365299200,,,
2016-7-28,2016,7,28,117504000,225607680,,,
2016-7-29,2016,7,29,114048000,248624640,,,
2016-7-30,2016,7,30,99360000,193752000,,,
2016-7-31,2016,7,31,88992000,167304960,,,
2016-8-1,2016,8,1,83289600,131597568,,,
2016-8-2,2016,8,2,84931200,157972032,,,
2016-8-3,2016,8,3,93312000,197821440,,,
2016-8-4,2016,8,4,101088000,165784320,,,
2016-8-5,2016,8,5,102816000,161421120,,,
2016-8-6,2016,8,6,88128000,169205760,,,
2016-8-7,2016,8,7,73785600,135765504,,,
2016-8-8,2016,8,8,66355200,108490752,,,
2016-8-9,2016,8,9,62899200,81768960,,,
2016-8-10,2016,8,10,62899200,81768960,,,
2016-8-11,2016,8,11,65491200,74659968,,,
2016-8-12,2016,8,12,50544000,52565760,,,
2016-8-13,2016,8,13,43286400,40083206.4,,,
2016-8-14,2016,8,14,38793600,26030505.6,,,
2016-8-15,2016,8,15,36547200,24303888,,,
2016-8-16,2016,8,16,38793600,24052032,,,
2016-8-17,2016,8,17,38793600,25409808,,,
2016-8-18,2016,8,18,40176000,30252528,,,
2016-8-19,2016,8,19,37324800,26090035.2,,,
2016-8-20,2016,8,20,29980800,14090976,,,
2016-8-21,2016,8,21,29980800,12981686.4,,,
2016-8-22,2016,8,22,29203200,13199846.4,,,
2016-8-23,2016,8,23,29203200,15419289.6,,,
2016-8-24,2016,8,24,28512000,14712192,,,
2016-8-25,2016,8,25,27129600,10851840,,,
2016-8-26,2016,8,26,29203200,15886540.8,,,
2016-8-27,2016,8,27,27820800,14800665.6,,,
2016-8-28,2016,8,28,27820800,13242700.8,,,
2016-8-29,2016,8,29,24969600,11361168,,,
2016-8-30,2016,8,30,24969600,9588326.4,,,
2016-8-31,2016,8,31,26956800,12454041.6,,,
2016-9-1,2016,9,1,24883200,10575360,,,
2016-9-2,2016,9,2,24883200,9132134.4,,,
2016-9-3,2016,9,3,25401600,8458732.8,,,
2016-9-4,2016,9,4,24364800,6968332.8,,,
2016-9-5,2016,9,5,23760000,5892480,,,
2016-9-6,2016,9,6,24364800,7991654.4,,,
2016-9-7,2016,9,7,23760000,8553600,,,
2016-9-8,2016,9,8,22809600,7527168,,,
2016-9-9,2016,9,9,25747200,8033126.4,,,
2016-9-10,2016,9,10,26265600,7932211.2,,,
2016-9-11,2016,9,11,24710400,7956748.8,,,
2016-9-12,2016,9,12,24278400,8691667.2,,,
2016-9-13,2016,9,13,25747200,10530604.8,,,
2016-9-14,2016,9,14,25747200,10556352,,,
2016-9-15,2016,9,15,24710400,10526630.4,,,
2016-9-16,2016,9,16,24278400,7817644.8,,,
2016-9-17,2016,9,17,25228800,9586944,,,
2016-9-18,2016,9,18,25747200,9011520,,,
2016-9-19,2016,9,19,24710400,9810028.8,,,
2016-9-20,2016,9,20,24710400,8475667.2,,,
2016-9-21,2016,9,21,24710400,10427788.8,,,
2016-9-22,2016,9,22,23846400,7845465.6,,,
2016-9-23,2016,9,23,23846400,8847014.4,,,
2016-9-24,2016,9,24,22636800,7651238.4,,,
2016-9-25,2016,9,25,22032000,9473760,,,
2016-9-26,2016,9,26,22032000,8526384,,,
2016-9-27,2016,9,27,21686400,9238406.4,,,
2016-9-28,2016,9,28,23068800,10173340.8,,,
2016-9-29,2016,9,29,27475200,16869772.8,,,
2016-9-30,2016,9,30,32400000,21805200,,,
2016-10-1,2016,10,1,31795200,22002278.4,,,
2016-10-2,2016,10,2,30585600,20492352,,,
2016-10-3,2016,10,3,30585600,17036179.2,,,
2016-10-4,2016,10,4,30585600,14864601.6,,,
2016-10-5,2016,10,5,29203200,14484787.2,,,
2016-10-6,2016,10,6,28598400,15300144,,,
2016-10-7,2016,10,7,28080000,11821680,,,
2016-10-8,2016,10,8,28080000,17971200,,,
2016-10-9,2016,10,9,28598400,27883440,,,
2016-10-10,2016,10,10,29203200,20529849.6,,,
2016-10-11,2016,10,11,28080000,12832560,,,
2016-10-12,2016,10,12,26956800,17818444.8,,,
2016-10-13,2016,10,13,25488000,13763520,,,
2016-10-14,2016,10,14,28598400,20705241.6,,,
2016-10-15,2016,10,15,28771200,19219161.6,,,
2016-10-16,2016,10,16,30153600,19569686.4,,,
2016-10-17,2016,10,17,31622400,23748422.4,,,
2016-10-18,2016,10,18,30153600,20775830.4,,,
2016-10-19,2016,10,19,30153600,27409622.4,,,
2016-10-20,2016,10,20,28771200,26296876.8,,,
2016-10-21,2016,10,21,28425600,34110720,,,
2016-10-22,2016,10,22,29721600,19110988.8,,,
2016-10-23,2016,10,23,36201600,25739337.6,,,
2016-10-24,2016,10,24,34473600,27061776,,,
2016-10-25,2016,10,25,33177600,26774323.2,,,
2016-10-26,2016,10,26,33782400,25438147.2,,,
2016-10-27,2016,10,27,36201600,27404611.2,,,
2016-10-28,2016,10,28,39225600,36048326.4,,,
2016-10-29,2016,10,29,45014400,63920448,,,
2016-10-30,2016,10,30,41731200,52581312,,,
2016-10-31,2016,10,31,41040000,45554400,,,
2016-11-1,2016,11,1,41040000,41450400,,,
2016-11-2,2016,11,2,40348800,51646464,,,
2016-11-3,2016,11,3,38275200,39423456,,,
2016-11-4,2016,11,4,38966400,31328985.6,,,
2016-11-5,2016,11,5,37584000,48483360,,,
2016-11-6,2016,11,6,34300800,35672832,,,
2016-11-7,2016,11,7,37411200,27684288,,,
2016-11-8,2016,11,8,30931200,24126336,,,
2016-11-9,2016,11,9,34387200,19359993.6,,,
2016-11-10,2016,11,10,36201600,27187401.6,,,
2016-11-11,2016,11,11,33782400,17668195.2,,,
2016-11-12,2016,11,12,28598400,15528931.2,,,
2016-11-13,2016,11,13,26438400,15387148.8,,,
2016-11-14,2016,11,14,30326400,19408896,,,
2016-11-15,2016,11,15,25920000,14204160,,,
2016-11-16,2016,11,16,28080000,13955760,,,
2016-11-17,2016,11,17,26438400,13589337.6,,,
2016-11-18,2016,11,18,32054400,21284121.6,,,
2016-11-19,2016,11,19,26438400,14779065.6,,,
2016-11-20,2016,11,20,26438400,16180300.8,,,
2016-11-21,2016,11,21,25401600,13793068.8,,,
2016-11-22,2016,11,22,20736000,13374720,,,
2016-11-23,2016,11,23,21859200,12153715.2,,,
2016-11-24,2016,11,24,25142400,15412291.2,,,
2016-11-25,2016,11,25,27302400,17910374.4,,,
2016-11-26,2016,11,26,27302400,18811353.6,,,
2016-11-27,2016,11,27,35164800,27534038.4,,,
2016-11-28,2016,11,28,29462400,17500665.6,,,
2016-11-29,2016,11,29,23414400,14235955.2,,,
2016-11-30,2016,11,30,24364800,11646374.4,,,
2016-12-1,2016,12,1,23587200,11463379.2,,,
2016-12-2,2016,12,2,23328000,10824192,,,
2016-12-3,2016,12,3,23328000,10684224,,,
2016-12-4,2016,12,4,23587200,10685001.6,,,
2016-12-5,2016,12,5,22723200,9339235.2,,,
2016-12-6,2016,12,6,22291200,12460780.8,,,
2016-12-7,2016,12,7,23155200,11855462.4,,,
2016-12-8,2016,12,8,22896000,12569904,,,
2016-12-9,2016,12,9,23155200,11762841.6,,,
2016-12-10,2016,12,10,23328000,14603328,,,
2016-12-11,2016,12,11,23155200,12735360,,,
2016-12-12,2016,12,12,23587200,10000972.8,,,
2016-12-13,2016,12,13,22896000,12684384,,,
2016-12-14,2016,12,14,23328000,13833504,,,
2016-12-15,2016,12,15,22896000,11951712,,,
2016-12-16,2016,12,16,22291200,14154912,,,
2016-12-17,2016,12,17,22032000,11016000,,,
2016-12-18,2016,12,18,21859200,10623571.2,,,
2016-12-19,2016,12,19,20131200,8837596.8,,,
2016-12-20,2016,12,20,18748800,7911993.6,,,
2016-12-21,2016,12,21,18403200,7177248,,,
2016-12-22,2016,12,22,18403200,7802956.8,,,
2016-12-23,2016,12,23,18748800,7068297.6,,,
2016-12-24,2016,12,24,19094400,6912172.8,,,
2016-12-25,2016,12,25,19094400,7389532.8,,,
2016-12-26,2016,12,26,19440000,5987520,,,
2016-12-27,2016,12,27,19785600,5975251.2,,,
2016-12-28,2016,12,28,19612800,5589648,,,
2016-12-29,2016,12,29,19440000,8262000,,,
2016-12-30,2016,12,30,18748800,7780752,,,
2016-12-31,2016,12,31,18662400,7623590.4,,,
2017-1-1,2017,1,1,18446400,8992620,,,
2017-1-2,2017,1,2,17625600,10240473.6,,,
2017-1-3,2017,1,3,16675200,7820668.8,,,
2017-1-4,2017,1,4,16329600,6801278.4,,,
2017-1-5,2017,1,5,16070400,6733497.6,,,
2017-1-6,2017,1,6,15897600,7058534.4,,,
2017-1-7,2017,1,7,15897600,7440076.8,,,
2017-1-8,2017,1,8,17625600,9323942.4,,,
2017-1-9,2017,1,9,17452800,9284889.6,,,
2017-1-10,2017,1,10,17452800,9180172.8,,,
2017-1-11,2017,1,11,17452800,8429702.4,,,
2017-1-12,2017,1,12,17625600,9094809.6,,,
2017-1-13,2017,1,13,17798400,9237369.6,,,
2017-1-14,2017,1,14,17798400,9628934.4,,,
2017-1-15,2017,1,15,17452800,8098099.2,,,
2017-1-16,2017,1,16,17366400,9916214.4,,,
2017-1-17,2017,1,17,17193600,7874668.8,,,
2017-1-18,2017,1,18,17193600,8854704,,,
2017-1-19,2017,1,19,17193600,7530796.8,,,
2017-1-20,2017,1,20,17020800,6570028.8,,,
2017-1-21,2017,1,21,16934400,9076838.4,,,
2017-1-22,2017,1,22,16761600,8179660.8,,,
2017-1-23,2017,1,23,16502400,5841849.6,,,
2017-1-24,2017,1,24,16243200,7082035.2,,,
2017-1-25,2017,1,25,16156800,6656601.6,,,
2017-1-26,2017,1,26,15897600,7440076.8,,,
2017-1-27,2017,1,27,15897600,8091878.4,,,
2017-1-28,2017,1,28,15552000,8133696,,,
2017-1-29,2017,1,29,15465600,6882192,,,
2017-1-30,2017,1,30,15638400,7052918.4,,,
2017-1-31,2017,1,31,15638400,6255360,,,
2017-2-1,2017,2,1,15638400,7412601.6,,,
2017-2-2,2017,2,2,15724800,8507116.8,,,
2017-2-3,2017,2,3,15811200,6403536,,,
2017-2-4,2017,2,4,15724800,6714489.6,,,
2017-2-5,2017,2,5,15811200,6814627.2,,,
2017-2-6,2017,2,6,15811200,6956928,,,
2017-2-7,2017,2,7,16243200,9112435.2,,,
2017-2-8,2017,2,8,16934400,11481523.2,,,
2017-2-9,2017,2,9,17452800,12216960,,,
2017-2-10,2017,2,10,18489600,11371104,,,
2017-2-11,2017,2,11,18662400,12615782.4,,,
2017-2-12,2017,2,12,18921600,9744624,,,
2017-2-13,2017,2,13,18489600,11648448,,,
2017-2-14,2017,2,14,18057600,8053689.6,,,
2017-2-15,2017,2,15,18662400,15340492.8,,,
2017-2-16,2017,2,16,21600000,18813600,,,
2017-2-17,2017,2,17,25833600,22268563.2,,,
2017-2-18,2017,2,18,27388800,31223232,,,
2017-2-19,2017,2,19,31363200,39517632,,,
2017-2-20,2017,2,20,28771200,22441536,,,
2017-2-21,2017,2,21,32745600,30453408,,,
2017-2-22,2017,2,22,37238400,38727936,,,
2017-2-23,2017,2,23,40003200,50804064,,,
2017-2-24,2017,2,24,39657600,53934336,,,
2017-2-25,2017,2,25,39312000,47960640,,,
2017-2-26,2017,2,26,38966400,49876992,,,
2017-2-27,2017,2,27,35164800,41494464,,,
2017-2-28,2017,2,28,37497600,40122432,,,
2017-3-1,2017,3,1,35856000,33740496,,,
2017-3-2,2017,3,2,41040000,48016800,,,
2017-3-3,2017,3,3,36547200,27008380.8,,,
2017-3-4,2017,3,4,35856000,32593104,,,
2017-3-5,2017,3,5,38880000,43156800,,,
2017-3-6,2017,3,6,44064000,63452160,,,
2017-3-7,2017,3,7,48211200,84851712,,,
2017-3-8,2017,3,8,46656000,70917120,,,
2017-3-9,2017,3,9,47433600,55022976,,,
2017-3-10,2017,3,10,43632000,42192144,,,
2017-3-11,2017,3,11,44064000,53758080,,,
2017-3-12,2017,3,12,41472000,46033920,,,
2017-3-13,2017,3,13,43286400,43719264,,,
2017-3-14,2017,3,14,44409600,39036038.4,,,
2017-3-15,2017,3,15,45532800,47354112,,,
2017-3-16,2017,3,16,48729600,71632512,,,
2017-3-17,2017,3,17,48124800,60156000,,,
2017-3-18,2017,3,18,47865600,57438720,,,
2017-3-19,2017,3,19,48729600,63348480,,,
2017-3-20,2017,3,20,49852800,55336608,,,
2017-3-21,2017,3,21,49593600,68439168,,,
2017-3-22,2017,3,22,48124800,64005984,,,
2017-3-23,2017,3,23,48124800,61599744,,,
2017-3-24,2017,3,24,51062400,55658016,,,
2017-3-25,2017,3,25,48470400,84338496,,,
2017-3-26,2017,3,26,47606400,88547904,,,
2017-3-27,2017,3,27,47260800,72309024,,,
2017-3-28,2017,3,28,51667200,54767232,,,
2017-3-29,2017,3,29,47865600,84243456,,,
2017-3-30,2017,3,30,47865600,61746624,,,
2017-3-31,2017,3,31,49334400,81895104,,,
2017-4-1,2017,4,1,56851200,116544960,,,
2017-4-2,2017,4,2,56851200,73906560,,,
2017-4-3,2017,4,3,58147200,109316736,,,
2017-4-4,2017,4,4,56160000,85363200,,,
2017-4-5,2017,4,5,60134400,117863424,,,
2017-4-6,2017,4,6,59529600,119654496,,,
2017-4-7,2017,4,7,58838400,117088416,,,
2017-4-8,2017,4,8,62208000,115084800,,,
2017-4-9,2017,4,9,62899200,88058880,,,
2017-4-10,2017,4,10,64886400,106413696,,,
2017-4-11,2017,4,11,65577600,124597440,,,
2017-4-12,2017,4,12,66960000,147981600,,,
2017-4-13,2017,4,13,69033600,133925184,,,
2017-4-14,2017,4,14,69033600,132544512,,,
2017-4-15,2017,4,15,70416000,138015360,,,
2017-4-16,2017,4,16,69724800,141541344,,,
2017-4-17,2017,4,17,76032000,171072000,,,
2017-4-18,2017,4,18,73872000,169905600,,,
2017-4-19,2017,4,19,72489600,142079616,,,
2017-4-20,2017,4,20,73872000,121150080,,,
2017-4-21,2017,4,21,73872000,153653760,,,
2017-4-22,2017,4,22,74649600,153778176,,,
2017-4-23,2017,4,23,79488000,137514240,,,
2017-4-24,2017,4,24,82771200,180441216,,,
2017-4-25,2017,4,25,78710400,179459712,,,
2017-4-26,2017,4,26,82771200,194512320,,,
2017-4-27,2017,4,27,81907200,143337600,,,
2017-4-28,2017,4,28,77155200,138879360,,,
2017-4-29,2017,4,29,72576000,104509440,,,
2017-4-30,2017,4,30,69552000,102241440,,,
2017-5-1,2017,5,1,64454400,76056192,,,
2017-5-2,2017,5,2,62380800,69866496,,,
2017-5-3,2017,5,3,57628800,63967968,,,
2017-5-4,2017,5,4,64584000,81375840,,,
2017-5-5,2017,5,5,64972800,83165184,,,
2017-5-6,2017,5,6,65664000,73543680,,,
2017-5-7,2017,5,7,62035200,81886464,,,
2017-5-8,2017,5,8,61344000,73612800,,,
2017-5-9,2017,5,9,63504000,87000480,,,
2017-5-10,2017,5,10,63504000,91445760,,,
2017-5-11,2017,5,11,59875200,77837760,,,
2017-5-12,2017,5,12,59184000,60367680,,,
2017-5-13,2017,5,13,58406400,60158592,,,
2017-5-14,2017,5,14,56937600,62061984,,,
2017-5-15,2017,5,15,56160000,55935360,,,
2017-5-16,2017,5,16,60048000,73859040,,,
2017-5-17,2017,5,17,59356800,71228160,,,
2017-5-18,2017,5,18,58147200,55821312,,,
2017-5-19,2017,5,19,55123200,52201670.4,,,
2017-5-20,2017,5,20,54604800,57881088,,,
2017-5-21,2017,5,21,55728000,55728000,,,
2017-5-22,2017,5,22,54604800,49526553.6,,,
2017-5-23,2017,5,23,53481600,58294944,,,
2017-5-24,2017,5,24,53481600,66317184,,,
2017-5-25,2017,5,25,51926400,46837612.8,,,
2017-5-26,2017,5,26,53481600,51288854.4,,,
2017-5-27,2017,5,27,52444800,62933760,,,
2017-5-28,2017,5,28,51408000,53978400,,,
2017-5-29,2017,5,29,51408000,43028496,,,
2017-5-30,2017,5,30,51926400,50991724.8,,,
2017-5-31,2017,5,31,52963200,54022464,,,
2017-6-1,2017,6,1,50025600,48925036.8,,,
2017-6-2,2017,6,2,49507200,47279376,,,
2017-6-3,2017,6,3,49075200,54964224,,,
2017-6-4,2017,6,4,49075200,46523289.6,,,
2017-6-5,2017,6,5,51926400,48499257.6,,,
2017-6-6,2017,6,6,49507200,46091203.2,,,
2017-6-7,2017,6,7,50976000,56583360,,,
2017-6-8,2017,6,8,51667200,74400768,,,
2017-6-9,2017,6,9,52444800,54542592,,,
2017-6-10,2017,6,10,53395200,53929152,,,
2017-6-11,2017,6,11,53395200,56598912,,,
2017-6-12,2017,6,12,51667200,57867264,,,
2017-6-13,2017,6,13,51667200,56317248,,,
2017-6-14,2017,6,14,48729600,43905369.6,,,
2017-6-15,2017,6,15,51667200,63033984,,,
2017-6-16,2017,6,16,56678400,78216192,,,
2017-6-17,2017,6,17,59184000,76939200,,,
2017-6-18,2017,6,18,65404800,97453152,,,
2017-6-19,2017,6,19,64454400,87657984,,,
2017-6-20,2017,6,20,67305600,97593120,,,
2017-6-21,2017,6,21,65404800,97453152,,,
2017-6-22,2017,6,22,64454400,83790720,,,
2017-6-23,2017,6,23,65404800,85680288,,,
2017-6-24,2017,6,24,66355200,89579520,,,
2017-6-25,2017,6,25,67305600,93554784,,,
