日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3)
,,,,2.32,1.99,
,1757.0,,2.7,,,
,1738.0,,2.6,0.52,2.43,
,,,,2.08,1.83,
,1717.0,,2.5,,,
,1696.0,,2.4,0.48,1.74,
,,,,1.92,1.43,
,1672.0,,0.0,,0.0,
2022-07-20,2076.0,44.24,0.0,,0.0,
,2054.0,,2.04,0.41,1.36,
,,,,1.63,1.34,
,2037.0,,2.6,,,
,2021.0,,3.51,0.7,2.11,
,,,,2.81,1.61,
,2007.0,,3.52,,,
,1995.0,,3.51,0.7,2.4,
,,,,2.81,1.86,
,1980.0,,3.44,,,
,1964.0,,3.46,0.69,2.71,
,,,,2.77,1.97,
,1948.0,,3.45,,,
,1933.0,,3.52,0.7,2.89,
,,,,2.82,2.04,
,1918.0,,3.46,,,
,1903.0,,3.43,0.69,2.89,
,,,,2.74,2.11,
,1888.0,,3.44,,,
,1873.0,,3.39,0.68,2.81,
,,,,2.71,1.99,
,1858.0,,3.36,,,
,1842.0,,3.32,0.66,2.59,
,,,,2.66,2.13,
,1826.0,,3.29,,,
,1809.0,,3.21,0.64,2.5,
,,,,2.57,2.01,
,1793.0,,3.2,,,
,1775.0,,3.18,0.64,2.28,
,,,,2.54,1.75,
,1757.0,,3.18,,,
,1738.0,,3.13,0.63,2.06,
,,,,2.5,1.59,
,1717.0,,3.03,,,
,1696.0,,3.01,0.63,1.46,
,,,,2.41,1.3,
,1672.0,,0.0,,0.0,
2022-07-09,2078.0,43.5,0.0,,0.0,
,2063.0,,0.9,0.18,0.64,
,,,,0.72,0.59,
,2046.0,,1.8,,,
,2029.0,,2.8,0.56,0.89,
,,,,2.24,0.78,
,2012.0,,2.85,,,
,1996.0,,2.85,0.57,1.19,
,,,,2.28,1.03,
,1980.0,,2.8,,,
,1964.0,,2.8,0.56,1.33,
,,,,2.24,1.16,
,1948.0,,2.8,,,
,1933.0,,2.8,0.56,1.48,
,,,,2.24,1.17,
,1918.0,,2.8,,,
,1903.0,,2.75,0.55,1.51,
,,,,2.2,1.26,
,1888.0,,2.78,,,
,1873.0,,2.84,0.57,1.59,
,,,,2.27,1.29,
,1858.0,,2.97,,,
,1842.0,,3.02,0.6,1.64,
,,,,2.42,1.37,
,1826.0,,3.0,,,
,1809.0,,3.05,0.61,1.69,
,,,,2.44,1.44,
,1792.0,,3.0,,,
,1774.0,,3.05,0.6,1.64,
,,,,2.4,1.25,
,1755.0,,2.65,,,
,1736.0,,2.36,0.61,1.5,
,,,,2.44,1.09,
,1716.0,,2.65,,,
,1694.0,,2.36,0.47,1.17,
,,,,1.89,0.84,
,1674.0,,0.0,,0.0,
2022-07-08,2083.0,44.99,0.0,,0.0,
,2063.0,,2.15,0.43,1.36,
,,,,1.72,1.3,
,2046.0,,3.15,,,
,2029.0,,3.5,0.7,2.06,
,,,,2.8,1.76,
,2012.0,,3.8,,,
,1996.0,,4.1,0.82,2.42,
,,,,3.28,2.02,
,1980.0,,4.1,,,
,1964.0,,4.0,0.8,2.83,
,,,,3.2,2.16,
,1948.0,,3.9,,,
,1933.0,,3.8,0.76,2.99,
,,,,3.04,2.49,
,1918.0,,3.7,,,
,1903.0,,3.6,0.72,3.11,
,,,,2.88,2.57,
,1888.0,,3.6,,,
,1873.0,,3.6,0.72,3.29,
,,,,2.88,2.66,
,1858.0,,3.6,,,
,1842.0,,3.6,0.72,3.16,
,,,,2.88,2.54,
,1826.0,,3.55,,,
,1809.0,,3.55,0.71,3.14,
,,,,2.84,2.49,
,1792.0,,3.54,,,
,1774.0,,3.5,0.7,2.97,
,,,,2.8,2.45,
,1755.0,,3.45,,,
,1736.0,,3.35,0.67,2.73,
,,,,2.68,2.32,
,1716.0,,3.3,,,
,1694.0,,3.25,0.65,2.06,
,,,,2.6,1.68,
,1670.0,,0.0,,0.0,
2022-07-07,2083.0,45.5,0.0,,0.0,
,2063.0,,2.6,0.52,1.56,
,,,,2.08,1.31,
,2046.0,,3.4,,,
,2029.0,,3.9,0.78,2.6,
,,,,3.12,2.09,
,2012.0,,4.0,,,
,1996.0,,4.3,0.86,3.02,
,,,,3.44,2.4,
,1980.0,,4.5,,,
,1964.0,,4.33,0.87,3.22,
,,,,3.46,2.62,
,1948.0,,4.22,,,
,1933.0,,4.2,0.84,3.36,
,,,,3.36,2.75,
,1918.0,,4.3,,,
,1903.0,,4.2,0.84,3.38,
,,,,3.36,2.79,
,1888.0,,4.19,,,
,1873.0,,4.1,0.82,3.38,
,,,,3.28,2.82,
,1858.0,,4.06,,,
,1842.0,,4.0,0.8,3.33,
,,,,3.2,2.75,
,1826.0,,4.0,,,
,1809.0,,4.0,0.8,3.2,
,,,,3.2,2.75,
,1792.0,,3.9,,,
,1774.0,,3.8,0.76,2.99,
,,,,3.04,2.53,
,1775.0,,3.77,,,
,1736.0,,3.8,0.76,2.72,
,,,,3.04,2.5,
,1716.0,,3.7,,,
,1694.0,,3.5,0.7,2.06,
,,,,2.8,1.88,
,1670.0,,0.0,,0.0,
2022-04-18,2075.0,42.86,0.0,,0.0,
,2052.0,,1.8,0.36,1.07,
,,,,1.44,0.84,
,2034.0,,2.3,,,
,2018.0,,2.4,0.48,1.75,
,,,,1.92,1.47,
,2002.0,,2.5,,,
,1986.0,,2.6,0.52,2.13,
,,,,2.08,1.65,
,1971.0,,2.5,,,
,1956.0,,2.4,0.48,2.28,
,,,,1.92,1.67,
,1941.0,,2.3,,,
,1926.0,,2.3,0.46,2.25,
,,,,1.84,1.67,
,1912.0,,2.2,,,
,1898.0,,2.2,0.44,1.99,
,,,,1.76,1.57,
,1885.0,,2.1,,,
,1872.0,,2.1,0.42,1.93,
,,,,1.68,1.46,
,1859.0,,2.0,,,
,1846.0,,1.9,0.38,1.72,
,,,,1.52,1.32,
,1833.0,,2.0,,,
,1820.0,,2.0,0.4,1.36,
,,,,1.6,1.18,
,1806.0,,1.9,,,
,1792.0,,1.9,0.38,1.15,
,,,,1.52,0.74,
,1777.0,,1.6,,,
,1761.0,,1.4,0.28,0.48,
,,,,1.12,0.25,
,1754.0,,1.2,,,
,1738.0,,0.9,0.18,0.29,
,,,,0.72,0.15,
,1705.0,,0.0,,0.0,
2021-07-22,2076.0,45.22,0.0,,0.0,
,2060.0,,2.7,0.54,1.75,
,,,,2.16,1.7,
,2044.0,,3.1,,,
,2028.0,,3.6,0.72,2.43,
,,,,2.88,2.16,
,2013.0,,4.2,,,
,1996.0,,4.5,0.9,2.95,
,,,,3.6,2.38,
,1979.0,,4.6,,,
,1963.0,,4.6,0.92,3.2,
,,,,3.68,2.38,
,1947.0,,4.3,,,
,1930.0,,4.3,0.86,3.22,
,,,,3.44,2.5,
,1915.0,,4.3,,,
,1901.0,,4.3,0.86,3.22,
,,,,3.44,2.48,
,1887.0,,4.0,,,
,1873.0,,3.8,0.76,3.32,
,,,,3.04,2.6,
,1859.0,,3.8,,,
,1844.0,,3.6,0.72,3.17,
,,,,2.88,2.6,
,1828.0,,3.6,,,
,1810.0,,3.6,0.72,3.07,
,,,,2.88,2.38,
,1792.0,,3.5,,,
,1774.0,,3.5,0.7,2.95,
,,,,2.8,2.48,
,1756.0,,3.4,,,
,1737.0,,3.4,0.68,2.67,
,,,,2.72,2.16,
,1717.0,,3.1,,,
,1697.0,,3.0,0.6,2.5,
,,,,2.4,2.0,
,1674.0,,0.0,,0.0,
2021-07-09,2078.0,43.94,0.0,,0.0,
,2060.0,,1.4,0.0,1.22,26.2
,,,,0.28,1.21,27.2
,,,,0.84,1.17,28.3
,,,,1.12,1.06,29.8
,,,,1.4,0.89,27.9
,2044.0,,2.0,0.0,1.36,
,,,,0.4,1.32,
,,,,1.2,1.22,
,,,,1.6,1.16,
,,,,2.0,1.03,
,2028.0,,3.0,0.0,1.84,26.1
,,,,0.6,1.69,27.3
,,,,1.8,1.61,28.2
,,,,2.4,1.57,27.0
,,,,3.0,1.41,27.9
,2013.0,,3.6,0.0,2.06,
,,,,0.72,1.96,
,,,,0.6,1.75,
,,,,2.88,1.56,
,,,,3.6,1.11,
,1996.0,,3.6,0.0,2.33,21.3
,,,,0.72,2.11,25.9
,,,,2.16,1.96,28.7
,,,,2.88,1.65,31.2
,,,,3.6,1.23,32.3
,1979.0,,3.3,0.0,2.3,
,,,,0.66,2.18,
,,,,1.98,2.13,
,,,,2.64,1.8,
,,,,3.3,1.38,
,1963.0,,3.3,0.0,2.45,23.4
,,,,0.66,2.21,24.6
,,,,1.98,2.18,27.4
,,,,2.64,1.8,28.4
,,,,3.3,1.36,26.2
,1947.0,,3.2,0.0,2.48,
,,,,0.66,2.31,
,,,,1.98,2.28,
,,,,2.64,2.05,
,,,,3.2,1.36,
,1930.0,,3.2,0.0,2.48,16.7
,,,,0.64,2.5,24.4
,,,,1.92,2.3,26.5
,,,,2.56,1.82,28.6
,,,,3.2,1.36,32.0
,1915.0,,3.2,0.0,2.48,
,,,,0.64,2.55,
,,,,1.92,2.33,
,,,,2.56,1.93,
,,,,3.2,1.36,
,1901.0,,3.1,0.0,2.5,22.2
,,,,0.62,2.55,24.2
,,,,1.86,2.33,27.0
,,,,2.48,1.8,27.9
,,,,3.1,1.3,32.6
,1887.0,,3.0,0.0,2.45,
,,,,0.6,2.5,
,,,,1.8,2.33,
,,,,2.4,1.84,
,,,,3.0,1.36,
,1873.0,,3.0,0.0,2.5,24.8
,,,,0.6,2.4,24.4
,,,,1.8,2.3,25.8
,,,,2.4,1.87,26.1
,,,,3.0,1.46,28.2
,1859.0,,3.0,0.0,2.48,
,,,,0.6,2.45,
,,,,1.8,2.26,
,,,,2.4,1.93,
,,,,3.0,1.46,
,1844.0,,2.8,0.0,2.48,19.7
,,,,0.56,2.4,23.0
,,,,1.68,2.31,27.2
,,,,2.24,1.85,29.5
,,,,2.8,1.33,37.1
,1828.0,,2.8,0.0,2.45,
,,,,0.56,2.3,
,,,,1.68,1.98,
,,,,2.24,1.72,
,,,,2.8,1.3,
,1810.0,,2.7,0.0,2.4,21.8
,,,,0.54,2.24,22.0
,,,,1.62,1.98,22.8
,,,,2.16,1.59,28.0
,,,,2.7,1.22,33.9
,1792.0,,2.6,0.0,2.23,
,,,,0.52,2.16,
,,,,1.56,1.96,
,,,,2.08,1.69,
,,,,2.6,1.26,
,1774.0,,2.6,0.0,2.21,18.9
,,,,0.52,2.16,20.4
,,,,1.56,1.96,25.3
,,,,2.08,1.69,33.8
,,,,2.6,1.26,35.2
,1756.0,,2.5,0.0,2.06,
,,,,0.5,1.96,
,,,,1.5,1.74,
,,,,2.0,1.43,
,,,,2.5,1.1,
,1737.0,,2.4,0.0,1.9,17.9
,,,,0.48,1.82,21.0
,,,,1.44,1.61,21.1
,,,,1.92,1.32,27.2
,,,,2.4,0.81,31.0
,1717.0,,2.3,0.0,1.9,
,,,,0.46,1.62,
,,,,1.38,1.17,
,,,,1.84,0.88,
,,,,2.3,0.72,
,1697.0,,2.0,0.0,1.72,17.4
,,,,0.4,1.11,16.8
,,,,1.2,0.92,17.6
,,,,1.6,0.7,20.2
,,,,2.0,0.55,23.7
,1677.0,,0.0,,0.0,
2021-07-08,2078.0,44.18,0.0,,0.0,
,2060.0,,1.6,0.32,1.08,
,,,,1.28,0.89,
,2044.0,,2.2,,,
,2028.0,,3.5,0.7,1.92,
,,,,2.8,1.62,
,2013.0,,3.9,,,
,1996.0,,3.8,0.76,2.25,
,,,,3.04,1.72,
,1979.0,,3.6,,,
,1963.0,,3.6,0.72,2.38,
,,,,2.88,1.77,
,1947.0,,3.55,,,
,1930.0,,3.5,0.7,2.5,
,,,,2.8,2.21,
,1915.0,,3.52,,,
,1901.0,,3.45,0.69,2.55,
,,,,2.76,2.23,
,1887.0,,3.3,,,
,1873.0,,3.28,0.66,2.55,
,,,,2.62,2.06,
,1859.0,,3.2,,,
,1844.0,,3.2,0.64,2.4,
,,,,2.56,1.92,
,1828.0,,3.0,,,
,1810.0,,2.9,0.58,2.33,
,,,,2.32,1.72,
,1792.0,,2.8,,,
,1774.0,,2.7,0.54,2.23,
,,,,2.16,1.64,
,1756.0,,2.6,,,
,1737.0,,2.6,0.52,1.98,
,,,,2.08,1.39,
,1717.0,,2.5,,,
,1697.0,,2.4,0.48,1.24,
,,,,1.92,1.08,
,1677.0,,0.0,,0.0,
2021-07-07,2086.0,44.52,0.0,,0.0,
,2068.0,,1.5,0.3,0.74,
,,,,1.2,0.5,
,2048.0,,2.4,,,
,2030.0,,3.7,0.74,1.87,
,,,,2.96,1.59,
,2013.0,,3.9,,,
,1996.0,,4.0,0.8,2.38,
,,,,3.2,1.82,
,1979.0,,3.9,,,
,1963.0,,3.9,0.78,2.5,
,,,,3.12,1.89,
,1947.0,,3.9,,,
,1930.0,,3.9,0.78,2.5,
,,,,3.12,1.87,
,1915.0,,3.8,,,
,1901.0,,3.8,0.76,2.67,
,,,,3.04,1.93,
,1887.0,,3.7,,,
,1873.0,,3.7,0.74,2.6,
,,,,2.96,2.0,
,1859.0,,3.6,,,
,1844.0,,3.5,0.7,2.45,
,,,,2.8,1.93,
,1828.0,,3.4,,,
,1810.0,,3.3,0.66,2.35,
,,,,2.64,1.79,
,1792.0,,3.1,,,
,1774.0,,2.9,0.58,2.23,
,,,,2.32,1.77,
,1756.0,,2.9,,,
,1737.0,,2.8,0.56,2.08,
,,,,2.24,1.56,
,1717.0,,2.6,,,
,1697.0,,2.4,0.48,1.51,
,,,,1.92,0.89,
,1677.0,,0.0,,0.0,
2021-04-16,2066.0,42.72,0.0,,0.0,
,2041.0,,1.2,0.24,1.04,
,,,,0.96,0.86,
,2024.0,,1.5,,,
,2007.0,,1.6,0.32,1.34,
,,,,1.28,1.39,
,1991.0,,1.6,,,
,1974.0,,1.6,0.2,1.64,
,,,,1.28,1.39,
,1957.0,,1.6,,,
,1941.0,,1.55,0.31,1.72,
,,,,1.4,1.46,
,1927.0,,1.5,,,
,1913.0,,1.6,0.32,1.85,
,,,,1.28,1.52,
,1900.0,,1.6,,,
,1886.0,,1.7,0.34,1.89,
,,,,1.36,1.56,
,1873.0,,1.75,,,
,1859.0,,1.75,0.35,1.85,
,,,,1.4,1.62,
,1844.0,,1.75,,,
,1828.0,,1.8,0.36,1.84,
,,,,1.44,1.43,
,1813.0,,1.7,,,
,1798.0,,1.7,0.34,1.62,
,,,,1.36,1.36,
,1783.0,,1.7,,,
,1768.0,,1.7,0.34,1.29,
,,,,1.36,0.9,
,1752.0,,2.0,,,
,1737.0,,2.2,0.44,0.97,
,,,,1.76,0.72,
,1722.0,,1.8,,,
,1706.0,,1.5,0.3,0.74,
,,,,1.2,0.62,
,1686.0,,0.0,,0.0,
2020-07-29,2078.0,44.18,0.0,,0.0,
,2055.0,,2.0,0.4,1.47,
,,,,1.6,1.37,
,2036.0,,2.3,,,
,2019.0,,3.2,0.64,2.31,
,,,,2.56,1.77,
,2002.0,,3.4,,,
,1985.0,,3.5,0.7,2.73,
,,,,2.8,2.03,
,1968.0,,3.4,,,
,1952.0,,3.3,0.66,2.91,
,,,,2.64,2.33,
,1936.0,,3.2,,,
,1920.0,,3.2,0.64,2.95,
,,,,2.56,2.33,
,1905.0,,3.1,,,
,1890.0,,3.0,0.6,2.93,
,,,,2.4,2.33,
,1875.0,,3.0,,,
,1860.0,,2.9,0.58,2.88,
,,,,2.32,2.23,
,1845.0,,2.8,,,
,1830.0,,2.7,0.54,2.78,
,,,,2.32,2.28,
,1814.0,,2.7,,,
,1798.0,,2.6,0.52,2.66,
,,,,2.08,2.1,
,1781.0,,2.6,,,
,1764.0,,2.6,0.52,2.61,
,,,,2.08,2.03,
,1747.0,,2.6,,,
,1730.0,,2.5,0.5,2.33,
,,,,2.08,1.79,
,1713.0,,2.4,,,
,1696.0,,2.3,0.46,1.56,
,,,,1.84,1.01,
,1679.0,,0.0,,0.0,
2020-07-11,2080.0,44.52,0.0,,0.0,
,2055.0,,2.0,0.0,1.18,22.0
,,,,0.4,1.12,22.2
,,,,1.2,1.06,22.2
,,,,1.6,1.02,21.9
,,,,2.0,0.91,22.2
,2037.0,,2.9,0.0,1.74,
,,,,0.58,1.66,
,,,,1.74,1.18,
,,,,2.32,1.17,
,,,,2.9,1.0,
,2019.0,,3.8,0.0,2.05,21.8
,,,,0.76,2.01,22.9
,,,,2.28,1.79,23.8
,,,,3.04,1.74,21.8
,,,,3.8,1.46,22.0
,2002.0,,4.0,0.0,2.45,
,,,,0.8,2.4,
,,,,2.4,2.11,
,,,,3.2,1.92,
,,,,4.0,1.51,
,1985.0,,3.7,0.0,2.63,22.0
,,,,0.74,2.55,22.7
,,,,2.22,2.26,25.4
,,,,2.96,1.84,26.4
,,,,3.7,1.67,25.5
,1968.0,,3.7,0.0,2.71,
,,,,0.74,2.63,
,,,,2.22,2.38,
,,,,2.96,1.97,
,,,,3.7,1.67,
,1952.0,,3.7,0.0,2.76,26.4
,,,,0.74,2.7,24.0
,,,,2.22,2.43,25.5
,,,,2.96,2.03,27.9
,,,,3.7,1.52,36.8
,1936.0,,3.6,0.0,2.73,
,,,,0.72,2.68,
,,,,2.16,2.38,
,,,,2.88,2.03,
,,,,3.6,1.74,
,1920.0,,3.6,0.0,2.75,23.5
,,,,0.72,2.75,24.2
,,,,2.16,2.38,27.0
,,,,2.88,1.96,28.8
,,,,3.6,1.62,33.8
,1905.0,,3.5,0.0,2.76,
,,,,0.7,2.73,
,,,,2.1,2.43,
,,,,2.8,2.05,
,,,,3.5,1.66,
,1890.0,,3.4,0.0,2.86,22.6
,,,,0.68,2.83,24.9
,,,,2.04,2.53,28.6
,,,,2.72,2.15,28.4
,,,,3.4,1.97,38.8
,1875.0,,3.4,0.0,2.78,
,,,,0.68,2.78,
,,,,2.04,2.5,
,,,,2.72,2.03,
,,,,3.4,1.56,
,1860.0,,3.3,0.0,2.75,21.7
,,,,0.66,2.73,23.3
,,,,1.98,2.55,27.1
,,,,2.64,2.06,33.1
,,,,3.3,1.59,45.1
,1845.0,,3.3,0.0,2.68,
,,,,0.66,2.65,
,,,,1.98,2.48,
,,,,2.64,2.03,
,,,,3.3,1.56,
,1830.0,,3.3,0.0,2.68,23.5
,,,,0.66,2.66,25.1
,,,,1.98,2.48,25.8
,,,,2.64,1.97,36.1
,,,,3.3,1.61,36.4
,1814.0,,3.3,0.0,2.68,
,,,,0.66,2.63,
,,,,1.98,2.25,
,,,,2.64,1.81,
,,,,3.3,1.51,
,1798.0,,3.2,0.0,2.68,27.5
,,,,0.64,2.6,24.0
,,,,1.92,2.43,29.7
,,,,2.56,1.94,31.9
,,,,3.2,1.59,38.9
,1781.0,,3.1,0.0,2.65,
,,,,0.62,2.55,
,,,,1.86,2.35,
,,,,2.48,1.87,
,,,,3.1,1.51,
,1764.0,,3.0,0.0,2.5,24.1
,,,,0.62,2.48,21.7
,,,,1.86,2.38,28.5
,,,,2.48,1.87,32.0
,,,,3.0,1.56,35.6
,1747.0,,3.0,0.0,2.45,
,,,,0.6,2.4,
,,,,1.8,2.18,
,,,,2.4,1.77,
,,,,3.0,1.52,
,1729.0,,2.9,0.0,2.43,24.9
,,,,0.58,2.38,22.7
,,,,1.74,2.13,28.2
,,,,2.32,1.77,32.6
,,,,2.9,1.36,37.3
,1711.0,,2.7,0.0,2.01,
,,,,0.54,1.99,
,,,,1.62,1.91,
,,,,2.16,1.49,
,,,,2.7,1.36,
,1692.0,,2.7,0.0,1.28,24.8
,,,,0.54,1.22,21.5
,,,,1.62,0.98,22.6
,,,,2.16,0.84,30.4
,,,,2.7,0.75,29.9
,1672.0,,0.0,,0.0,
2020-07-10,2080.0,44.56,0.0,,0.0,
,2055.0,,2.0,0.4,1.26,
,,,,1.6,1.15,
,2037.0,,2.9,,,
,2019.0,,4.0,0.8,2.13,
,,,,3.2,1.61,
,2002.0,,3.9,,,
,1985.0,,3.8,0.76,2.53,
,,,,3.04,1.91,
,1968.0,,3.6,,,
,1952.0,,3.6,0.72,2.65,
,,,,2.88,2.15,
,1936.0,,3.6,,,
,1920.0,,3.5,0.7,2.76,
,,,,2.8,2.15,
,1905.0,,3.5,,,
,1890.0,,3.5,0.7,2.7,
,,,,2.8,2.03,
,1875.0,,3.5,,,
,1860.0,,3.4,0.68,2.65,
,,,,2.72,2.08,
,1845.0,,3.4,,,
,1830.0,,3.3,0.66,2.66,
,,,,2.64,2.01,
,1814.0,,3.3,,,
,1798.0,,3.2,0.64,2.5,
,,,,2.56,2.06,
,1781.0,,3.2,,,
,1764.0,,3.2,0.64,2.36,
,,,,2.56,1.86,
,1747.0,,3.1,,,
,1729.0,,2.9,0.58,2.3,
,,,,2.32,1.91,
,1711.0,,2.8,,,
,1692.0,,2.8,0.56,1.32,
,,,,2.24,1.06,
,1672.0,,0.0,,0.0,
2020-04-17,2066.0,43.16,0.0,,0.0,
,2049.0,,1.8,0.36,1.24,
,,,,1.44,0.98,
,2032.0,,2.1,,,
,2016.0,,2.2,0.44,1.91,
,,,,1.76,1.32,
,2000.0,,2.25,,,
,1984.0,,2.35,0.47,2.26,
,,,,1.88,1.66,
,1968.0,,2.3,,,
,1952.0,,2.2,0.44,2.38,
,,,,1.76,1.74,
,1936.0,,2.2,,,
,1921.0,,2.1,0.42,2.41,
,,,,1.68,1.56,
,1906.0,,2.05,,,
,1891.0,,1.95,0.39,2.43,
,,,,1.56,1.64,
,1876.0,,1.9,,,
,1861.0,,1.9,0.38,2.38,
,,,,1.52,1.46,
,1846.0,,1.9,,,
,1831.0,,1.9,0.38,2.38,
,,,,1.52,1.38,
,1816.0,,1.95,,,
,1801.0,,2.0,0.4,2.25,
,,,,1.6,1.35,
,1786.0,,2.05,,,
,1771.0,,2.2,0.44,2.06,
,,,,1.76,1.35,
,1756.0,,2.5,,,
,1741.0,,2.5,0.5,1.93,
,,,,2.0,1.28,
,1726.0,,2.15,,,
,1710.0,,2.05,0.41,1.32,
,,,,1.64,0.61,
,1693.0,,0.0,,0.0,
2019-04-17,1692.0,43.09,0.0,,0.0,
,1703.0,,2.05,0.41,0.72,
,,,,1.64,0.5,
,1720.0,,2.35,,,
,1737.0,,2.65,0.53,1.53,
,,,,2.12,1.22,
,1753.0,,2.35,,,
,1769.0,,2.25,0.45,1.86,
,,,,1.8,1.37,
,1785.0,,2.1,,,
,1800.0,,2.0,0.4,1.99,
,,,,1.6,1.57,
,1818.0,,1.95,,,
,1835.0,,2.0,0.4,2.07,
,,,,1.6,1.6,
,1852.0,,2.0,,,
,1869.0,,2.1,0.42,2.09,
,,,,1.68,1.56,
,1885.0,,2.05,,,
,1901.0,,2.1,0.42,1.96,
,,,,1.68,1.47,
,1917.0,,2.15,,,
,1932.0,,2.15,0.43,1.83,
,,,,1.72,1.41,
,1948.0,,2.15,,,
,1963.0,,2.2,0.44,1.68,
,,,,1.76,1.27,
,1980.0,,2.2,,,
,1997.0,,2.1,0.42,1.45,
,,,,1.68,1.15,
,2013.0,,1.95,,,
,2030.0,,1.75,0.35,1.18,
,,,,1.4,0.94,
,2048.0,,1.8,,,
,2056.0,,1.6,0.32,0.73,
,,,,1.28,0.62,
,2072.0,,0.0,,0.0,
2018-04-04,1962.0,43.17,0.0,,0.0,
,1972.0,,3.3,0.66,1.08,
,,,,2.64,0.89,
,1981.0,,2.7,,,
,1990.0,,2.2,0.44,1.81,
,,,,1.76,1.41,
,1999.0,,3.2,,,
,2008.0,,3.3,0.66,2.14,
,,,,2.64,1.84,
,2017.0,,3.3,,,
,2026.0,,3.45,0.69,2.17,
,,,,2.76,1.86,
,2035.0,,3.6,,,
,2044.0,,3.6,0.72,2.16,
,,,,2.88,1.96,
,2053.0,,3.65,,,
,2062.0,,3.65,0.73,2.16,
,,,,2.92,1.96,
,2071.0,,3.6,,,
,2080.0,,3.5,0.7,2.02,
,,,,2.8,1.65,
,2090.0,,3.5,,,
,2099.0,,3.3,0.66,1.92,
,,,,2.64,1.73,
,2110.0,,2.95,,,
,2120.0,,2.8,0.56,1.55,
,,,,2.24,1.43,
,2131.0,,2.6,,,
,2142.0,,1.8,0.36,0.54,
,,,,1.44,0.39,
,2153.0,,1.0,,,
,2164.0,,0.8,0.16,0.32,
,,,,0.64,0.19,
,2179.0,,0.0,,0.0,
