,2016-6-8,2016-10-20,2017-5-11,2017-9-5,2018-9-13,2019-4-13,2019-10-15,2020-3-19,2021-3-14
510,45.212,45.258,45.464,45.464,45.44314286,44.13245161,45.41625,44.112,44.112
520,45.219,45.261,45.463,45.463,45.461,44.23567742,45.4225,44.242,44.242
530,45.226,45.264,45.462,45.462,45.47885714,44.2535,45.42875,44.32170213,44.32170213
540,45.233,45.267,45.461,45.461,45.49671429,44.26183333,45.435,44.32595745,44.32595745
550,45.24,45.27,45.46,45.46,45.51457143,44.27016667,45.44125,44.33021277,44.33021277
560,45.247,45.273,45.459,45.459,45.53242857,44.2785,45.4475,44.33446809,44.33446809
570,45.254,45.276,45.458,45.458,45.55028571,44.28683333,45.45375,44.3387234,44.3387234
580,45.261,45.279,45.457,45.457,45.56814286,44.29516667,45.46,44.34327103,44.34327103
590,45.268,45.282,45.456,45.456,45.586,44.28673529,44.15481481,44.34794393,44.34794393
600,45.275,45.285,45.455,45.455,45.57454167,44.27644118,44.14740741,44.35261682,44.35261682
610,45.268,45.284,45.455,45.455,45.56308333,44.26614706,44.14,44.35728972,44.35728972
620,45.261,45.283,45.455,45.455,45.551625,44.25585294,44.157,44.36196262,44.36196262
630,45.254,45.282,45.455,45.455,45.54016667,44.24555882,44.174,44.36663551,44.36663551
640,45.247,45.281,45.455,45.455,45.52870833,44.23526471,44.191,44.37130841,44.37130841
650,45.24,45.28,45.455,45.455,45.51725,44.23026667,44.208,44.37598131,44.37598131
660,45.233,45.279,45.455,45.455,45.50579167,44.27293333,44.225,44.38065421,44.38065421
670,45.226,45.278,45.455,45.455,45.49433333,44.3156,44.242,44.3853271,44.3853271
680,45.219,45.277,45.455,45.455,45.482875,44.35826667,44.259,44.39,44.39
690,45.212,45.276,45.455,45.455,45.48205405,44.40093333,44.276,44.405,44.405
700,45.205,45.275,45.455,45.455,45.49718919,44.4436,44.293,44.42,44.42
710,45.28625,45.292,45.469,45.469,45.51232432,44.48626667,44.31,44.435,44.435
720,45.3675,45.309,45.483,45.483,45.52745946,44.52893333,44.303,44.45,44.45
730,45.44875,45.326,45.497,45.497,45.54259459,44.53078873,44.296,44.465,44.465
740,45.46595238,45.343,45.511,45.511,45.55772973,44.50543662,44.289,44.48,44.48
750,45.46714286,45.36,45.525,45.525,45.57286486,44.48008451,44.282,44.495,44.495
760,45.46833333,45.377,45.539,45.539,45.588,44.45473239,44.275,44.51,44.51
770,45.46952381,45.394,45.553,45.553,45.60313514,44.42938028,44.268,44.525,44.525
780,45.47071429,45.411,45.567,45.567,45.61827027,44.40402817,44.261,44.54,44.54
790,45.47190476,45.428,45.581,45.581,45.63340541,44.37867606,44.254,44.555,44.555
800,45.47309524,45.445,45.595,45.595,45.64854054,44.36919149,44.247,44.57,44.57
810,45.47428571,45.461,45.605,45.605,45.66367568,44.37557447,44.24,44.585,44.585
820,45.47547619,45.477,45.615,45.615,45.67881081,44.38195745,44.243,44.6,44.6
830,45.47666667,45.493,45.625,45.625,45.69394595,44.38834043,44.246,44.615,44.615
840,45.47785714,45.509,45.635,45.635,45.70908108,44.3947234,44.249,44.63,44.63
850,45.47904762,45.525,45.645,45.645,45.72421622,44.41922581,44.252,44.31698413,44.31698413
860,45.4802381,45.541,45.655,45.655,45.73935135,44.44825806,44.255,44.37571429,44.37571429
870,45.48142857,45.557,45.665,45.665,45.75448649,44.47729032,44.258,44.43444444,44.43444444
880,45.48261905,45.573,45.675,45.675,45.74736,44.50632258,44.261,44.4931746,44.4931746
890,45.48380952,45.589,45.685,45.685,45.73776,44.53535484,44.264,44.55190476,44.55190476
900,45.485,45.605,45.695,45.695,45.72816,44.5643871,44.267,44.61063492,44.61063492
910,45.497,45.603,45.685,45.685,45.71856,44.54309677,44.27,44.61258065,44.61258065
920,45.509,45.601,45.675,45.675,45.70896,44.48825806,44.26777778,44.55774194,44.55774194
930,45.521,45.599,45.665,45.665,45.69936,44.43341935,44.26555556,44.50290323,44.50290323
940,45.533,45.597,45.655,45.655,45.68976,44.37858065,44.26333333,44.44806452,44.44806452
950,45.545,45.595,45.645,45.645,45.68016,44.32374194,44.26111111,44.39322581,44.39322581
960,45.557,45.50125,45.557,45.557,45.67056,44.26890323,44.25888889,44.3383871,44.3383871
970,45.569,45.705,45.469,45.469,45.66096,44.84171429,44.25666667,44.81,44.81
980,45.581,45.28064706,45.381,45.381,45.65136,46.356,44.25444444,46.335,46.335
990,45.593,45.30888235,45.293,45.293,45.64176,46.29528571,44.25222222,46.285,46.285
1000,45.605,45.33711765,45.205,45.205,45.66493617,46.23457143,44.25,46.235,46.235
1010,45.537,45.36535294,45.185,45.185,45.7372766,46.16333333,44.32,46.10166667,46.10166667
1020,45.469,45.39358824,45.165,45.165,45.80961702,46.05,44.39,45.77388889,45.77388889
1030,45.401,45.42182353,45.145,45.145,45.88195745,45.93666667,44.46,45.61892857,45.61892857
1040,45.333,45.45005882,45.125,45.125,45.95429787,45.82333333,44.53,45.63678571,45.63678571
1050,45.265,45.47829412,45.105,45.105,45.94656075,45.71,44.6,45.65464286,45.65464286
1060,45.197,45.50652941,45.085,45.085,45.90450467,45.676,44.67,45.6845,45.6845
1070,45.129,45.48885542,45.065,45.065,45.8624486,45.676,44.74,45.7195,45.7195
1080,45.061,45.45150602,45.045,45.045,45.82039252,45.676,44.87661972,44.47823529,44.47823529
1090,44.993,45.41415663,45.025,45.025,45.77833645,45.676,45.01323944,44.45470588,44.45470588
1100,44.925,45.37680723,45.005,45.005,45.73628037,45.676,45.14985915,44.43117647,44.43117647
1110,44.966,45.33945783,45.054,45.054,45.6942243,45.68171429,45.28647887,44.77,44.77
1120,45.007,45.30210843,45.103,45.103,45.65216822,45.68885714,45.42309859,45.84163043,45.84163043
1130,45.048,45.26475904,45.152,45.152,45.61011215,45.696,45.55971831,45.82967391,45.82967391
1140,45.089,45.22740964,45.201,45.201,45.56805607,45.70314286,45.69633803,45.81771739,45.81771739
1150,45.13,45.22322785,45.25,45.25,45.526,45.726625,45.74705882,45.80576087,45.80576087
1160,45.171,45.26879747,45.299,45.299,45.60781818,45.761,45.8095,45.79380435,45.79380435
1170,45.212,45.31436709,45.348,45.348,45.68963636,45.795375,45.957,45.78184783,45.78184783
1180,45.253,45.35993671,45.397,45.397,45.77145455,45.82975,46.1045,45.7698913,45.7698913
1190,45.294,45.40550633,45.446,45.446,45.79263462,45.864125,46.252,45.75793478,45.75793478
1200,45.335,45.45107595,45.495,45.495,45.78782692,45.8985,46.3995,45.74597826,45.74597826
1210,45.335,45.49664557,45.55,45.55,45.78301923,45.326,46.547,44.92166667,44.92166667
1220,45.335,45.54221519,45.605,45.605,45.77821154,44.76087179,46.6945,44.64805556,44.64805556
1230,45.335,45.55928571,45.66,45.66,45.77340385,44.80446154,46.842,44.68416667,44.68416667
1240,45.335,45.54785714,45.715,45.715,45.76859615,44.84805128,46.95483871,44.72027778,44.72027778
1250,45.335,45.53642857,45.77,45.77,45.76378846,44.89164103,46.92903226,44.75638889,44.75638889
1260,45.335,45.525,45.825,45.825,45.75898077,44.90725,46.90322581,44.7799115,44.7799115
1270,45.335,45.51357143,45.88,45.88,45.75417308,44.91975,46.87741935,44.8020354,44.8020354
1280,45.335,45.50214286,45.935,45.935,45.74936538,44.93225,46.8516129,44.82415929,44.82415929
1290,45.335,45.49071429,45.99,45.99,45.76429268,44.94475,46.82580645,44.84628319,44.84628319
1300,45.335,45.50919355,46.045,46.045,45.82526829,44.95725,46.8,44.86840708,44.86840708
1310,45.36307018,45.55758065,45.64194444,45.64194444,45.8862439,44.96975,46.77419355,44.89053097,44.89053097
1320,45.39114035,45.60596774,45.79472222,45.79472222,45.94721951,44.98225,46.7483871,44.91265487,44.91265487
1330,45.41921053,45.65435484,45.9475,45.9475,46.00819512,44.99028571,46.72258065,44.93477876,44.93477876
1340,45.4472807,45.70274194,46.11777778,46.11777778,46.06917073,44.99640816,46.69677419,44.95690265,44.95690265
1350,45.47535088,45.75112903,46.44555556,46.44555556,46.13014634,45.00253061,46.67096774,44.97902655,44.97902655
1360,45.49319277,45.61357143,46.67909091,46.66919355,46.19112195,45.00865306,46.64516129,45.00115044,45.00115044
1370,45.48716867,45.375,46.69272727,46.64983871,46.25945455,45.01477551,46.61935484,45.01913043,45.01913043
1380,45.48114458,45.35833333,46.70636364,46.63048387,46.394,45.02089796,46.59354839,45.03434783,45.03434783
1390,45.47512048,45.34166667,46.72,46.61112903,46.52854545,45.02702041,46.56774194,45.04956522,45.04956522
1400,45.46909639,45.39125,46.73363636,46.59177419,46.66309091,45.03314286,48.09,45.06478261,45.06478261
1410,45.46307229,45.485,46.74727273,46.57241935,46.79763636,45.03926531,48.20772152,45.08,45.08
1420,45.45704819,45.57875,46.76090909,46.555,46.93218182,45.04538776,48.15202532,45.08769231,45.08769231
1430,45.4510241,45.435,46.02815789,46.155,47.01171429,45.28475,48.09632911,45.2135,45.2135
1440,45.445,45.28685185,44.97552632,45.24076271,47.05457143,45.30225,48.04063291,45.2585,45.2585
1450,44.26657895,45.1387037,45.38376923,45.19330508,47.09742857,45.31975,47.98493671,45.3035,45.3035
1460,44.14026316,44.95166667,46.15723077,45.14584746,47.14028571,45.33725,47.92924051,45.3485,45.3485
1470,44.19363317,44.67388889,46.72077273,45.09838983,47.18314286,45.97266667,47.8735443,46.442,46.442
1480,44.29192462,44.51775862,46.44463636,45.0509322,47.226,47.226,47.8178481,47.15888889,47.15888889
1490,44.39021608,44.48327586,46.1685,45.00347458,48.31712245,48.31712245,47.90428571,47.778,47.736
1500,44.48850754,44.4487931,45.89236364,44.871,48.28753061,48.28753061,46.99230769,47.97285714,47.87029412
1510,44.58679899,44.68884615,45.61622727,44.71,48.25793878,48.25793878,45.9,48.01095238,47.85411765
1520,44.68509045,45.11192308,45.42766667,44.56,48.22834694,48.22834694,44.80769231,48.04904762,47.83794118
1530,44.78338191,45.535,45.261,44.41,48.1987551,48.1987551,45.5496,48.08714286,47.82176471
1540,44.88167337,45.62590909,45.09433333,44.26,48.16916327,48.16916327,45.5456,48.1252381,47.80558824
1550,44.97996482,45.71681818,45.10195238,44.245,48.13957143,48.13957143,45.5416,48.16333333,47.78941176
1560,45.07825628,45.6833871,45.15314286,44.245,48.10997959,48.10997959,45.18,48.16827586,47.77323529
1570,45.17654774,45.61887097,45.20433333,44.245,48.08038776,48.08038776,45.0325,48.09586207,47.82037037
1580,45.2748392,45.55435484,45.25552381,44.245,48.05079592,48.05079592,45.18666667,48.02344828,47.88333333
1590,45.37313065,45.37550633,45.439125,44.245,46.71975,46.71975,45.01909091,46.65,47.21
1600,45.47142211,45.14765823,45.711,44.245,45.926,45.88753846,43.63461538,45.95857143,45.73461538
1610,45.56971357,44.91981013,45.982875,44.245,45.75933333,45.59266667,42.88076923,45.77,45.71538462
1620,45.66800503,44.69196203,46.25475,44.20055556,45.59266667,45.29779487,42.456,45.75,45.696
1630,45.76629648,44.46411392,46.526625,44.145,45.426,45.00292308,42.30933333,45.73,45.676
1640,45.86458794,44.23626582,44.7985,44.145,45.254,44.67311111,42.3,45.560625,45.656
1650,45.9628794,44.00841772,44.73484615,44.145,45.074,44.29088889,42.174,45.241875,45.636
1660,46.06117085,43.78056962,44.65792308,44.145,44.894,43.90866667,41.81,45.18631579,45.58
1670,45.8415,43.37637931,44.581,44.145,44.714,43.52644444,41.526,45.16,44.19
1680,45.5865,42.92810345,44.50407692,44.16375,44.534,43.14422222,41.5,43.22363636,43.13652174
1690,46.011,42.47982759,44.466,44.22625,44.00054545,43.08963636,41.52545455,41.92666667,42.65826087
1700,46.66570588,42.16833333,44.451,44.19983871,43.12236364,41.59509091,41.494,41.44181818,42.18
1710,46.59511765,41.87203704,44.30688235,44.13532258,42.30070588,40.91247059,41.474,41.16909091,41.70173913
1720,45.481,41.62833333,44.15305882,44.07080645,41.536,40.736,41.448,40.94,41.22347826
1730,43.681,41.595,43.97658824,43.845,41.35952941,40.55952941,41.47666667,40.74,40.96333333
1740,43.38242857,41.56166667,43.70725,43.53666667,41.29225,40.49225,41.49818182,40.55677419,40.79666667
1750,42.871,41.535,43.376,43.45333333,41.47975,40.67975,41.48,40.52451613,40.78
1760,42.271,41.535,43.176,43.37,41.57975,40.77975,41.435,40.49225806,40.79875
1770,41.94381818,41.535,42.8105,43.28666667,41.645375,40.845375,41.39,40.46,40.86125
1780,41.672,41.535,42.19675,43.145,41.739125,40.939125,41.38,40.54823529,40.88
1790,41.63717241,41.535,41.74813333,42.945,41.81933333,41.01933333,41.34363636,40.63647059,40.97333333
1800,41.60234483,41.535,41.4785,42.745,41.886,41.086,41.328,40.72470588,41.44
1810,41.571,41.515,41.53016667,42.545,41.91377778,41.11377778,41.294,40.8,41.58
1820,41.571,41.475,41.49717647,42.47833333,41.93011765,41.13011765,41.342,40.86555556,41.57333333
1830,41.571,41.435,41.37952941,42.445,41.90070588,41.10070588,41.17,40.92111111,41.54
1840,41.571,41.435,41.45529412,42.445,41.886,41.086,41.138,40.96,41.50666667
1850,41.65281818,41.435,41.54870588,42.445,41.886,41.086,41.064,40.96,41.48
1860,41.58252941,41.435,41.36576471,42.49628205,41.83894118,41.03894118,41.046,40.96,41.48
1870,41.48,41.435,41.3085,42.5475641,41.789125,40.989125,41.145,41.03692308,41.48
1880,41.468375,41.435,41.43975,42.59884615,41.820375,41.020375,40.95272727,41.01,41.46285714
1890,41.41715385,41.435,41.261,42.65055556,41.820375,41.020375,40.925,40.950625,41.42
1900,41.371,41.435,41.043875,42.70611111,41.789125,40.989125,40.958,40.919375,41.39857143
1910,41.38528571,41.435,40.98325,42.745,41.757875,40.957875,40.834,40.89157895,41.38571429
1920,41.52814286,41.41067568,40.97777419,42.745,41.736,40.936,40.65,40.86526316,41.37142857
1930,41.61475,41.37013514,41.00906452,42.72357143,41.736,40.936,40.55,40.83647059,41.32857143
1940,41.6701,41.32959459,41.04035484,42.68785714,41.736,40.936,40.52,40.81217391,41.30933333
1950,41.64683333,41.28905405,41.08933333,42.65214286,41.72933333,40.92933333,40.48,40.83391304,41.304
1960,41.49407692,41.24851351,41.156,42.545,41.696,40.896,40.43,40.85565217,41.31733333
1970,41.39322222,41.20797297,41.27364706,42.45369565,41.686,40.886,40.286,40.88105263,41.32
1980,41.43942105,41.16743243,41.35723529,42.49717391,41.686,40.886,40.224,40.90736842,41.325625
1990,41.33415789,41.12854839,41.36135294,42.54065217,41.74482353,40.94482353,40.156,40.91,41.344375
2000,41.251,41.09629032,41.324,42.46318182,41.814125,41.014125,40.085,40.91,41.275625
2010,41.201,41.06403226,41.259,42.37227273,41.907875,41.107875,39.98,40.88222222,41.18
2020,41.017,41.03384615,41.55311765,42.317,42.01835294,41.21835294,40.1,40.96666667,41.18
2030,40.786625,41.02230769,41.76066667,42.277,42.136,41.336,40.564,41.5,41.29388889
2040,40.942875,41.01076923,41.76622222,42.205,42.31655556,41.37766667,40.88,41.835,41.52166667
2050,41.099125,41.06552632,41.77177778,42.005,42.49711111,41.41933333,42.925,42.085,41.9596875
2060,41.255375,41.18657895,41.77733333,41.86722222,42.67766667,41.461,43.86,42.335,42.4878125
2070,42.21836842,42.15078947,41.95126316,41.97833333,43.51933333,42.55266667,45.51,42.74888889,43.0159375
2080,43.271,43.67710526,41.95389474,42.08944444,45.696,45.196,45.566,44.558,44.79666667
2090,44.19009091,44.24,42.006,42.20055556,46.396,45.896,45.07,45.31666667,45.5075
2100,44.72766667,44.39,42.21501639,42.31166667,46.83418182,47.24327273,44.96259259,47.49,47.095
2110,44.83451351,44.96474359,42.36255738,42.53166667,45.516,45.016,44.85518519,44.94756757,44.99681818
2120,44.92640541,45.03910256,42.51009836,42.79833333,45.65690909,45.00539394,44.79333333,44.86648649,44.91045455
2130,45.0182973,45.11346154,42.65763934,43.065,45.79781818,44.99478788,44.83777778,44.78540541,44.8464
2140,45.11394118,45.18782051,42.80518033,43.33166667,45.93872727,44.98418182,45.35222222,44.70432432,44.8344
2150,45.24335294,45.277,42.95272131,43.59833333,46.07963636,44.97357576,48.75,44.72064516,44.8224
2160,45.501,45.381,43.1685,43.865,46.22054545,44.9629697,46.674,44.77870968,44.8352381
2170,45.951,45.485,43.5435,44.13166667,46.36145455,44.95236364,46.15058824,44.83677419,44.85428571
2180,46.401,45.589,44.174,44.517,47.414,46.514,46.16235294,46.62142857,46.708
2190,47.561,45.693,45.26225,45.28666667,48.856,48.856,46.17411765,48.97333333,48.87333333
2200,46.285,47.035,45.899,45.695,46.92,46.92,46.18588235,47.40181818,47.40181818
2210,46.275,47.017,45.75117241,46.10333333,45.62358621,45.62358621,46.19764706,45.51,45.51
2220,46.265,46.999,45.52358621,46.1987931,45.60289655,45.60289655,46.20941176,45.485,45.485
2230,46.255,46.981,45.296,46.21603448,45.5822069,45.5822069,46.22117647,45.46,45.46
2240,46.245,46.963,45.06841379,46.23327586,45.56151724,45.56151724,46.23294118,45.4790625,45.4790625
2250,46.235,46.945,44.84082759,46.795,45.54082759,45.54082759,46.23142857,45.5275,45.5275
2260,46.225,46.957,44.6295,47.535,45.52013793,45.52013793,46.21,45.5759375,45.5759375
2270,46.215,46.969,44.5645,47.4825,45.52,45.52,46.18857143,45.624375,45.624375
2280,46.205,46.981,44.4995,47.43,45.525,45.525,46.16714286,45.6728125,45.6728125
2290,46.195,46.993,44.4345,47.3775,45.53,45.53,46.14571429,45.72125,45.72125
2300,46.185,47.005,44.3695,47.325,45.535,45.535,46.12428571,45.74416667,45.74416667
2310,46.154,47.005,44.3045,47.1923913,45.54,45.54,46.10285714,45.665,45.665
2320,46.123,47.005,44.33744444,47.05978261,45.545,45.545,46.08142857,45.58583333,45.58583333
2330,46.092,47.005,45.25188889,46.92717391,45.55295652,45.55295652,46.06,45.55782609,45.55782609
2340,46.061,47.005,46.16633333,46.79456522,45.56165217,45.56165217,47.5928,45.5426087,45.5426087
2350,46.03,47.005,47.0925,47.0925,45.57034783,45.57034783,47.4088,45.5273913,45.5273913
2360,45.999,46.993,48.03625,48.03625,45.57904348,45.57904348,45.68842105,45.51217391,45.51217391
2370,45.968,46.981,48.305,48.305,45.76872727,46.531,45.63052632,46.284,46.284
2380,45.937,46.969,47.57833333,47.57833333,46.68236364,48.15266667,45.57263158,48.10666667,48.10666667
2390,45.906,46.957,46.90192308,46.90192308,47.596,47.786,45.51473684,47.49,47.49
2400,45.875,46.945,46.825,46.825,47.04863158,47.0685,46.18065934,46.835,46.835
2410,45.81184211,46.8424359,46.778,46.778,46.55014414,46.194,46.18285714,46.18,46.18
2420,45.74868421,46.73987179,46.731,46.731,46.49158559,46.174,46.18505495,46.20830189,46.20830189
2430,45.68552632,46.63730769,46.684,46.684,46.43302703,46.154,46.18725275,46.23660377,46.23660377
2440,46.53,46.84166667,46.637,46.637,46.37446847,46.134,46.18945055,46.26490566,46.26490566
2450,46.39,46.5559434,46.59,46.59,46.31590991,46.114,46.19164835,46.29320755,46.29320755
2460,45.73755319,46.42575472,46.543,46.543,46.25735135,46.094,46.19384615,46.32150943,46.32150943
2470,45.72691489,46.29556604,46.496,46.496,46.19879279,46.03392453,46.19604396,46.2676087,46.2676087
2480,45.7162766,46.16537736,46.449,46.449,46.14023423,45.94713208,46.19824176,46.17847826,46.17847826
2490,45.7056383,46.03518868,46.402,46.402,46.08167568,45.86033962,46.19425532,46.08934783,46.08934783
2500,45.695,45.905,46.355,46.355,46.02311712,45.77354717,46.16553191,46.00021739,46.00021739
2510,45.689,45.898,46.364,46.364,45.96455856,45.68675472,46.13680851,45.88333333,45.88333333
2520,45.683,45.891,46.373,46.373,45.906,45.6475625,46.10808511,45.592,45.592
2530,45.677,45.884,46.382,46.382,45.884,45.7194375,46.0793617,45.602,45.602
2540,45.671,45.877,46.391,46.391,45.862,45.7913125,46.0506383,45.612,45.612
2550,45.665,45.87,46.4,46.4,45.84,45.8631875,46.02191489,45.622,45.622
2560,45.659,45.863,46.409,46.409,45.818,45.9350625,45.99319149,45.632,45.632
2570,45.653,45.856,46.418,46.418,45.796,46.0069375,45.96446809,45.642,45.642
2580,45.647,45.849,46.427,46.427,45.82473563,46.0788125,45.93574468,46.0915942,46.0915942
2590,45.641,45.842,46.436,46.436,45.85347126,46.07415789,45.92288889,46.10753623,46.10753623
2600,45.635,45.835,46.445,46.445,45.8822069,46.061,45.914,46.12347826,46.12347826
2610,45.615,45.813,46.34115385,46.34115385,45.91094253,46.04784211,45.90511111,46.13942029,46.13942029
2620,45.595,45.791,46.23730769,46.23730769,45.93967816,46.03468421,45.89622222,46.15536232,46.15536232
2630,45.575,45.769,46.13346154,46.13346154,45.96841379,46.02152632,45.88733333,46.17130435,46.17130435
2640,45.555,45.747,46.02961538,46.02961538,45.99714943,46.00836842,45.87844444,46.18724638,46.18724638
2650,45.535,45.725,45.92576923,45.92576923,46.02588506,45.99521053,45.86955556,46.14444444,46.14444444
2660,45.515,45.703,45.96,45.96,46.01994737,45.98478378,45.86066667,45.93309091,45.93309091
2670,45.495,45.681,46.02875,46.02875,45.93310526,45.98072973,45.85177778,45.87672727,45.87672727
2680,45.475,45.659,46.0975,46.0975,45.84626316,45.97667568,45.82234568,45.82036364,45.82036364
2690,45.455,45.637,46.16625,46.16625,45.75942105,45.97262162,45.78777778,45.764,45.764
2700,45.435,45.615,46.235,46.235,45.73266667,45.96856757,45.75320988,45.70763636,45.70763636
2710,45.437,45.611,46.209,46.209,45.766,45.96451351,45.71864198,45.65127273,45.65127273
2720,45.439,45.607,46.183,46.183,45.79933333,45.96045946,45.68407407,45.59490909,45.59490909
2730,45.441,45.603,46.157,46.157,45.83266667,45.95640541,45.64950617,45.53854545,45.53854545
2740,45.443,45.599,46.131,46.131,45.866,45.96984615,45.61493827,45.48218182,45.48218182
2750,45.445,45.595,46.105,46.105,45.89933333,45.98523077,45.58037037,45.42581818,45.42581818
2760,45.447,45.591,46.079,46.079,45.93266667,46.00061538,45.55465753,45.36945455,45.36945455
2770,45.449,45.587,46.053,46.053,45.966,46.016,45.53273973,45.397,45.397
2780,45.451,45.583,46.027,46.027,45.93,46.03138462,45.51082192,45.62033333,45.62033333
2790,45.453,45.579,46.001,46.001,45.894,46.04676923,45.48890411,45.84366667,45.84366667
2800,45.455,45.575,45.975,45.975,45.858,46.03847191,45.4669863,45.99693878,45.99693878
2810,45.553,45.589,45.92,45.92,45.822,45.99465169,45.44506849,45.98673469,45.98673469
2820,45.651,45.603,45.865,45.865,45.786,45.95083146,45.42315068,45.97653061,45.97653061
2830,45.749,45.617,45.81,45.81,45.75,45.90701124,45.40793103,45.96632653,45.96632653
2840,45.847,45.631,45.755,45.755,45.714,45.86319101,45.40275862,45.95612245,45.95612245
2850,45.945,45.645,45.7,45.7,45.678,45.81937079,45.39758621,45.92606838,45.92606838
