Date,Distance,Measurement_depth,Speed
2022-07-08,1842.0,2.88,2.54
2022-07-08,1809.0,0.71,3.14
2022-07-08,1809.0,2.84,2.49
2022-07-08,1774.0,0.7,2.97
2022-07-08,1774.0,2.8,2.45
2022-07-08,1736.0,0.67,2.73
2022-07-08,1736.0,2.68,2.32
2022-07-08,1694.0,0.65,2.06
2022-07-08,1694.0,2.6,1.68
2022-07-07,2063.0,0.52,1.56
2022-07-07,2063.0,2.08,1.31
2022-07-07,2029.0,0.78,2.6
2022-07-07,2029.0,3.12,2.09
2022-07-07,1996.0,0.86,3.02
2022-07-07,1996.0,3.44,2.4
2022-07-07,1964.0,0.87,3.22
2022-07-07,1964.0,3.46,2.62
2022-07-07,1933.0,0.84,3.36
2022-07-07,1933.0,3.36,2.75
2022-07-07,1903.0,0.84,3.38
2022-07-07,1903.0,3.36,2.79
2022-07-07,1873.0,0.82,3.38
2022-07-07,1873.0,3.28,2.82
2022-07-07,1842.0,0.8,3.33
2022-07-07,1842.0,3.2,2.75
2022-07-07,1809.0,0.8,3.2
2022-07-07,1809.0,3.2,2.75
2022-07-07,1774.0,0.76,2.99
2022-07-07,1774.0,3.04,2.53
2022-07-07,1736.0,0.76,2.72
2022-07-07,1736.0,3.04,2.5
2022-07-07,1694.0,0.7,2.06
2022-07-07,1694.0,2.8,1.88
2022-04-18,2052.0,0.36,1.07
2022-04-18,2052.0,1.44,0.84
2022-04-18,2018.0,0.48,1.75
2022-04-18,2018.0,1.92,1.47
2022-04-18,1986.0,0.52,2.13
2022-04-18,1986.0,2.08,1.65
2022-04-18,1956.0,0.48,2.28
2022-04-18,1956.0,1.92,1.67
2022-04-18,1926.0,0.46,2.25
2022-04-18,1926.0,1.84,1.67
2022-04-18,1898.0,0.44,1.99
2022-04-18,1898.0,1.76,1.57
2022-04-18,1872.0,0.42,1.93
2022-04-18,1872.0,1.68,1.46
2022-04-18,1846.0,0.38,1.72
2022-04-18,1846.0,1.52,1.32
2022-04-18,1820.0,0.4,1.36
2022-04-18,1820.0,1.6,1.18
2022-04-18,1792.0,0.38,1.15
2022-04-18,1792.0,1.52,0.74
2022-04-18,1761.0,0.28,0.48
2022-04-18,1761.0,1.12,0.25
2022-04-18,1738.0,0.18,0.29
2022-04-18,1738.0,0.72,0.15
2021-07-22,2060.0,0.54,1.75
2021-07-22,2060.0,2.16,1.7
2021-07-22,2028.0,0.72,2.43
2021-07-22,2028.0,2.88,2.16
2021-07-22,1996.0,0.9,2.95
2021-07-22,1996.0,3.6,2.38
2021-07-22,1963.0,0.92,3.2
2021-07-22,1963.0,3.68,2.38
2021-07-22,1930.0,0.86,3.22
2021-07-22,1930.0,3.44,2.5
2021-07-22,1901.0,0.86,3.22
2021-07-22,1901.0,3.44,2.48
2021-07-22,1873.0,0.76,3.32
2021-07-22,1873.0,3.04,2.6
2021-07-22,1844.0,0.72,3.17
2021-07-22,1844.0,2.88,2.6
2021-07-22,1810.0,0.72,3.07
2021-07-22,1810.0,2.88,2.38
2021-07-22,1774.0,0.7,2.95
2021-07-22,1774.0,2.8,2.48
2021-07-22,1737.0,0.68,2.67
2021-07-22,1737.0,2.72,2.16
2021-07-22,1697.0,0.6,2.5
2021-07-22,1697.0,2.4,2.0
2021-07-09,2060.0,0.0,1.22
2021-07-09,2060.0,0.28,1.21
2021-07-09,2060.0,0.84,1.17
2021-07-09,2060.0,1.12,1.06
2021-07-09,2060.0,1.4,0.89
2021-07-09,2044.0,0.0,1.36
2021-07-09,2044.0,0.4,1.32
2021-07-09,2044.0,1.2,1.22
2021-07-09,2044.0,1.6,1.16
2021-07-09,2044.0,2.0,1.03
2021-07-09,2028.0,0.0,1.84
2021-07-09,2028.0,0.6,1.69
2021-07-09,2028.0,1.8,1.61
2021-07-09,2028.0,2.4,1.57
2021-07-09,2028.0,3.0,1.41
2021-07-09,2013.0,0.0,2.06
2021-07-09,2013.0,0.72,1.96
2021-07-09,2013.0,0.6,1.75
2021-07-09,2013.0,2.88,1.56
2021-07-09,2013.0,3.6,1.11
2021-07-09,1996.0,0.0,2.33
2021-07-09,1996.0,0.72,2.11
2021-07-09,1996.0,2.16,1.96
2021-07-09,1996.0,2.88,1.65
2021-07-09,1996.0,3.6,1.23
2021-07-09,1979.0,0.0,2.3
2021-07-09,1979.0,0.66,2.18
2021-07-09,1979.0,1.98,2.13
2021-07-09,1979.0,2.64,1.8
2021-07-09,1979.0,3.3,1.38
2021-07-09,1963.0,0.0,2.45
2021-07-09,1963.0,0.66,2.21
2021-07-09,1963.0,1.98,2.18
2021-07-09,1963.0,2.64,1.8
2021-07-09,1963.0,3.3,1.36
2021-07-09,1947.0,0.0,2.48
2021-07-09,1947.0,0.66,2.31
2021-07-09,1947.0,1.98,2.28
2021-07-09,1947.0,2.64,2.05
2021-07-09,1947.0,3.2,1.36
2021-07-09,1930.0,0.0,2.48
2021-07-09,1930.0,0.64,2.5
2021-07-09,1930.0,1.92,2.3
2021-07-09,1930.0,2.56,1.82
2021-07-09,1930.0,3.2,1.36
2021-07-09,1915.0,0.0,2.48
2021-07-09,1915.0,0.64,2.55
2021-07-09,1915.0,1.92,2.33
2021-07-09,1915.0,2.56,1.93
2021-07-09,1915.0,3.2,1.36
2021-07-09,1901.0,0.0,2.5
2021-07-09,1901.0,0.62,2.55
2021-07-09,1901.0,1.86,2.33
2021-07-09,1901.0,2.48,1.8
2021-07-09,1901.0,3.1,1.3
2021-07-09,1887.0,0.0,2.45
2021-07-09,1887.0,0.6,2.5
2021-07-09,1887.0,1.8,2.33
2021-07-09,1887.0,2.4,1.84
2021-07-09,1887.0,3.0,1.36
2021-07-09,1873.0,0.0,2.5
2021-07-09,1873.0,0.6,2.4
2021-07-09,1873.0,1.8,2.3
2021-07-09,1873.0,2.4,1.87
2021-07-09,1873.0,3.0,1.46
2021-07-09,1859.0,0.0,2.48
2021-07-09,1859.0,0.6,2.45
2021-07-09,1859.0,1.8,2.26
2021-07-09,1859.0,2.4,1.93
2021-07-09,1859.0,3.0,1.46
2021-07-09,1844.0,0.0,2.48
2021-07-09,1844.0,0.56,2.4
2021-07-09,1844.0,1.68,2.31
2021-07-09,1844.0,2.24,1.85
2021-07-09,1844.0,2.8,1.33
2021-07-09,1828.0,0.0,2.45
2021-07-09,1828.0,0.56,2.3
2021-07-09,1828.0,1.68,1.98
2021-07-09,1828.0,2.24,1.72
2021-07-09,1828.0,2.8,1.3
2021-07-09,1810.0,0.0,2.4
2021-07-09,1810.0,0.54,2.24
2021-07-09,1810.0,1.62,1.98
2021-07-09,1810.0,2.16,1.59
2021-07-09,1810.0,2.7,1.22
2021-07-09,1792.0,0.0,2.23
2021-07-09,1792.0,0.52,2.16
2021-07-09,1792.0,1.56,1.96
2021-07-09,1792.0,2.08,1.69
2021-07-09,1792.0,2.6,1.26
2021-07-09,1774.0,0.0,2.21
2021-07-09,1774.0,0.52,2.16
2021-07-09,1774.0,1.56,1.96
2021-07-09,1774.0,2.08,1.69
2021-07-09,1774.0,2.6,1.26
2021-07-09,1756.0,0.0,2.06
2021-07-09,1756.0,0.5,1.96
2021-07-09,1756.0,1.5,1.74
2021-07-09,1756.0,2.0,1.43
2021-07-09,1756.0,2.5,1.1
2021-07-09,1737.0,0.0,1.9
2021-07-09,1737.0,0.48,1.82
2021-07-09,1737.0,1.44,1.61
2021-07-09,1737.0,1.92,1.32
2021-07-09,1737.0,2.4,0.81
2021-07-09,1717.0,0.0,1.9
2021-07-09,1717.0,0.46,1.62
2021-07-09,1717.0,1.38,1.17
2021-07-09,1717.0,1.84,0.88
2021-07-09,1717.0,2.3,0.72
2021-07-09,1697.0,0.0,1.72
2021-07-09,1697.0,0.4,1.11
2021-07-09,1697.0,1.2,0.92
2021-07-09,1697.0,1.6,0.7
2021-07-09,1697.0,2.0,0.55
2021-07-08,2060.0,0.32,1.08
2021-07-08,2060.0,1.28,0.89
2021-07-08,2028.0,0.7,1.92
2021-07-08,2028.0,2.8,1.62
2021-07-08,1996.0,0.76,2.25
2021-07-08,1996.0,3.04,1.72
2021-07-08,1963.0,0.72,2.38
2021-07-08,1963.0,2.88,1.77
2021-07-08,1930.0,0.7,2.5
2021-07-08,1930.0,2.8,2.21
2021-07-08,1901.0,0.69,2.55
2021-07-08,1901.0,2.76,2.23
2021-07-08,1873.0,0.66,2.55
2021-07-08,1873.0,2.62,2.06
2021-07-08,1844.0,0.64,2.4
2021-07-08,1844.0,2.56,1.92
2021-07-08,1810.0,0.58,2.33
2021-07-08,1810.0,2.32,1.72
2021-07-08,1774.0,0.54,2.23
2021-07-08,1774.0,2.16,1.64
2021-07-08,1737.0,0.52,1.98
2021-07-08,1737.0,2.08,1.39
2021-07-08,1697.0,0.48,1.24
2021-07-08,1697.0,1.92,1.08
2021-07-07,2068.0,0.3,0.74
2021-07-07,2068.0,1.2,0.5
2021-07-07,2030.0,0.74,1.87
2021-07-07,2030.0,2.96,1.59
2021-07-07,1996.0,0.8,2.38
2021-07-07,1996.0,3.2,1.82
2021-07-07,1963.0,0.78,2.5
2021-07-07,1963.0,3.12,1.89
2021-07-07,1930.0,0.78,2.5
2021-07-07,1930.0,3.12,1.87
2021-07-07,1901.0,0.76,2.67
2021-07-07,1901.0,3.04,1.93
2021-07-07,1873.0,0.74,2.6
2021-07-07,1873.0,2.96,2.0
2021-07-07,1844.0,0.7,2.45
2021-07-07,1844.0,2.8,1.93
2021-07-07,1810.0,0.66,2.35
2021-07-07,1810.0,2.64,1.79
2021-07-07,1774.0,0.58,2.23
2021-07-07,1774.0,2.32,1.77
2021-07-07,1737.0,0.56,2.08
2021-07-07,1737.0,2.24,1.56
2021-07-07,1697.0,0.48,1.51
2021-07-07,1697.0,1.92,0.89
2021-04-16,2041.0,0.24,1.04
2021-04-16,2041.0,0.96,0.86
2021-04-16,2007.0,0.32,1.34
2021-04-16,2007.0,1.28,1.39
2021-04-16,1974.0,0.2,1.64
2021-04-16,1974.0,1.28,1.39
2021-04-16,1941.0,0.31,1.72
2021-04-16,1941.0,1.4,1.46
2021-04-16,1913.0,0.32,1.85
2021-04-16,1913.0,1.28,1.52
2021-04-16,1886.0,0.34,1.89
2021-04-16,1886.0,1.36,1.56
2021-04-16,1859.0,0.35,1.85
2021-04-16,1859.0,1.4,1.62
2021-04-16,1828.0,0.36,1.84
2021-04-16,1828.0,1.44,1.43
2021-04-16,1798.0,0.34,1.62
2021-04-16,1798.0,1.36,1.36
2021-04-16,1768.0,0.34,1.29
2021-04-16,1768.0,1.36,0.9
2021-04-16,1737.0,0.44,0.97
2021-04-16,1737.0,1.76,0.72
2021-04-16,1706.0,0.3,0.74
2021-04-16,1706.0,1.2,0.62
2020-07-29,2055.0,0.4,1.47
2020-07-29,2055.0,1.6,1.37
2020-07-29,2019.0,0.64,2.31
2020-07-29,2019.0,2.56,1.77
2020-07-29,1985.0,0.7,2.73
2020-07-29,1985.0,2.8,2.03
2020-07-29,1952.0,0.66,2.91
2020-07-29,1952.0,2.64,2.33
2020-07-29,1920.0,0.64,2.95
2020-07-29,1920.0,2.56,2.33
2020-07-29,1890.0,0.6,2.93
2020-07-29,1890.0,2.4,2.33
2020-07-29,1860.0,0.58,2.88
2020-07-29,1860.0,2.32,2.23
2020-07-29,1830.0,0.54,2.78
2020-07-29,1830.0,2.32,2.28
2020-07-29,1798.0,0.52,2.66
2020-07-29,1798.0,2.08,2.1
2020-07-29,1764.0,0.52,2.61
2020-07-29,1764.0,2.08,2.03
2020-07-29,1730.0,0.5,2.33
2020-07-29,1730.0,2.08,1.79
2020-07-29,1696.0,0.46,1.56
2020-07-29,1696.0,1.84,1.01
2020-07-11,2055.0,0.0,1.18
2020-07-11,2055.0,0.4,1.12
2020-07-11,2055.0,1.2,1.06
2020-07-11,2055.0,1.6,1.02
2020-07-11,2055.0,2.0,0.91
2020-07-11,2037.0,0.0,1.74
2020-07-11,2037.0,0.58,1.66
2020-07-11,2037.0,1.74,1.18
2020-07-11,2037.0,2.32,1.17
2020-07-11,2037.0,2.9,1.0
2020-07-11,2019.0,0.0,2.05
2020-07-11,2019.0,0.76,2.01
2020-07-11,2019.0,2.28,1.79
2020-07-11,2019.0,3.04,1.74
2020-07-11,2019.0,3.8,1.46
2020-07-11,2002.0,0.0,2.45
2020-07-11,2002.0,0.8,2.4
2020-07-11,2002.0,2.4,2.11
2020-07-11,2002.0,3.2,1.92
2020-07-11,2002.0,4.0,1.51
2020-07-11,1985.0,0.0,2.63
2020-07-11,1985.0,0.74,2.55
2020-07-11,1985.0,2.22,2.26
2020-07-11,1985.0,2.96,1.84
2020-07-11,1985.0,3.7,1.67
2020-07-11,1968.0,0.0,2.71
2020-07-11,1968.0,0.74,2.63
2020-07-11,1968.0,2.22,2.38
2020-07-11,1968.0,2.96,1.97
2020-07-11,1968.0,3.7,1.67
2020-07-11,1952.0,0.0,2.76
2020-07-11,1952.0,0.74,2.7
2020-07-11,1952.0,2.22,2.43
2020-07-11,1952.0,2.96,2.03
2020-07-11,1952.0,3.7,1.52
2020-07-11,1936.0,0.0,2.73
2020-07-11,1936.0,0.72,2.68
2020-07-11,1936.0,2.16,2.38
2020-07-11,1936.0,2.88,2.03
2020-07-11,1936.0,3.6,1.74
2020-07-11,1920.0,0.0,2.75
2020-07-11,1920.0,0.72,2.75
2020-07-11,1920.0,2.16,2.38
2020-07-11,1920.0,2.88,1.96
2020-07-11,1920.0,3.6,1.62
2020-07-11,1905.0,0.0,2.76
2020-07-11,1905.0,0.7,2.73
2020-07-11,1905.0,2.1,2.43
2020-07-11,1905.0,2.8,2.05
2020-07-11,1905.0,3.5,1.66
2020-07-11,1890.0,0.0,2.86
2020-07-11,1890.0,0.68,2.83
2020-07-11,1890.0,2.04,2.53
2020-07-11,1890.0,2.72,2.15
2020-07-11,1890.0,3.4,1.97
2020-07-11,1875.0,0.0,2.78
2020-07-11,1875.0,0.68,2.78
2020-07-11,1875.0,2.04,2.5
2020-07-11,1875.0,2.72,2.03
2020-07-11,1875.0,3.4,1.56
2020-07-11,1860.0,0.0,2.75
2020-07-11,1860.0,0.66,2.73
2020-07-11,1860.0,1.98,2.55
2020-07-11,1860.0,2.64,2.06
2020-07-11,1860.0,3.3,1.59
2020-07-11,1845.0,0.0,2.68
2020-07-11,1845.0,0.66,2.65
2020-07-11,1845.0,1.98,2.48
2020-07-11,1845.0,2.64,2.03
2020-07-11,1845.0,3.3,1.56
2020-07-11,1830.0,0.0,2.68
2020-07-11,1830.0,0.66,2.66
2020-07-11,1830.0,1.98,2.48
2020-07-11,1830.0,2.64,1.97
2020-07-11,1830.0,3.3,1.61
2020-07-11,1814.0,0.0,2.68
2020-07-11,1814.0,0.66,2.63
2020-07-11,1814.0,1.98,2.25
2020-07-11,1814.0,2.64,1.81
2020-07-11,1814.0,3.3,1.51
2020-07-11,1798.0,0.0,2.68
2020-07-11,1798.0,0.64,2.6
2020-07-11,1798.0,1.92,2.43
2020-07-11,1798.0,2.56,1.94
2020-07-11,1798.0,3.2,1.59
2020-07-11,1781.0,0.0,2.65
2020-07-11,1781.0,0.62,2.55
2020-07-11,1781.0,1.86,2.35
2020-07-11,1781.0,2.48,1.87
2020-07-11,1781.0,3.1,1.51
2020-07-11,1764.0,0.0,2.5
2020-07-11,1764.0,0.62,2.48
2020-07-11,1764.0,1.86,2.38
2020-07-11,1764.0,2.48,1.87
2020-07-11,1764.0,3.0,1.56
2020-07-11,1747.0,0.0,2.45
2020-07-11,1747.0,0.6,2.4
2020-07-11,1747.0,1.8,2.18
2020-07-11,1747.0,2.4,1.77
2020-07-11,1747.0,3.0,1.52
2020-07-11,1729.0,0.0,2.43
2020-07-11,1729.0,0.58,2.38
2020-07-11,1729.0,1.74,2.13
2020-07-11,1729.0,2.32,1.77
2020-07-11,1729.0,2.9,1.36
2020-07-11,1711.0,0.0,2.01
2020-07-11,1711.0,0.54,1.99
2020-07-11,1711.0,1.62,1.91
2020-07-11,1711.0,2.16,1.49
2020-07-11,1711.0,2.7,1.36
2020-07-11,1692.0,0.0,1.28
2020-07-11,1692.0,0.54,1.22
2020-07-11,1692.0,1.62,0.98
2020-07-11,1692.0,2.16,0.84
2020-07-11,1692.0,2.7,0.75
2020-07-10,2055.0,0.4,1.26
2020-07-10,2055.0,1.6,1.15
2020-07-10,2019.0,0.8,2.13
2020-07-10,2019.0,3.2,1.61
2020-07-10,1985.0,0.76,2.53
2020-07-10,1985.0,3.04,1.91
2020-07-10,1952.0,0.72,2.65
2020-07-10,1952.0,2.88,2.15
2020-07-10,1920.0,0.7,2.76
2020-07-10,1920.0,2.8,2.15
2020-07-10,1890.0,0.7,2.7
2020-07-10,1890.0,2.8,2.03
2020-07-10,1860.0,0.68,2.65
2020-07-10,1860.0,2.72,2.08
2020-07-10,1830.0,0.66,2.66
2020-07-10,1830.0,2.64,2.01
2020-07-10,1798.0,0.64,2.5
2020-07-10,1798.0,2.56,2.06
2020-07-10,1764.0,0.64,2.36
2020-07-10,1764.0,2.56,1.86
2020-07-10,1729.0,0.58,2.3
2020-07-10,1729.0,2.32,1.91
2020-07-10,1692.0,0.56,1.32
2020-07-10,1692.0,2.24,1.06
2020-04-17,2049.0,0.36,1.24
2020-04-17,2049.0,1.44,0.98
2020-04-17,2016.0,0.44,1.91
2020-04-17,2016.0,1.76,1.32
2020-04-17,1984.0,0.47,2.26
2020-04-17,1984.0,1.88,1.66
2020-04-17,1952.0,0.44,2.38
2020-04-17,1952.0,1.76,1.74
2020-04-17,1921.0,0.42,2.41
2020-04-17,1921.0,1.68,1.56
2020-04-17,1891.0,0.39,2.43
2020-04-17,1891.0,1.56,1.64
2020-04-17,1861.0,0.38,2.38
2020-04-17,1861.0,1.52,1.46
2020-04-17,1831.0,0.38,2.38
2020-04-17,1831.0,1.52,1.38
2020-04-17,1801.0,0.4,2.25
2020-04-17,1801.0,1.6,1.35
2020-04-17,1771.0,0.44,2.06
2020-04-17,1771.0,1.76,1.35
2020-04-17,1741.0,0.5,1.93
2020-04-17,1741.0,2.0,1.28
2020-04-17,1710.0,0.41,1.32
2020-04-17,1710.0,1.64,0.61
2019-04-17,1703.0,0.41,0.72
2019-04-17,1703.0,1.64,0.5
2019-04-17,1737.0,0.53,1.53
2019-04-17,1737.0,2.12,1.22
2019-04-17,1769.0,0.45,1.86
2019-04-17,1769.0,1.8,1.37
2019-04-17,1800.0,0.4,1.99
2019-04-17,1800.0,1.6,1.57
2019-04-17,1835.0,0.4,2.07
2019-04-17,1835.0,1.6,1.6
2019-04-17,1869.0,0.42,2.09
2019-04-17,1869.0,1.68,1.56
2019-04-17,1901.0,0.42,1.96
2019-04-17,1901.0,1.68,1.47
2019-04-17,1932.0,0.43,1.83
2019-04-17,1932.0,1.72,1.41
2019-04-17,1963.0,0.44,1.68
2019-04-17,1963.0,1.76,1.27
2019-04-17,1997.0,0.42,1.45
2019-04-17,1997.0,1.68,1.15
2019-04-17,2030.0,0.35,1.18
2019-04-17,2030.0,1.4,0.94
2019-04-17,2056.0,0.32,0.73
2019-04-17,2056.0,1.28,0.62
2018-04-04,1972.0,0.66,1.08
2018-04-04,1972.0,2.64,0.89
2018-04-04,1990.0,0.44,1.81
2018-04-04,1990.0,1.76,1.41
2018-04-04,2008.0,0.66,2.14
2018-04-04,2008.0,2.64,1.84
2018-04-04,2026.0,0.69,2.17
2018-04-04,2026.0,2.76,1.86
2018-04-04,2044.0,0.72,2.16
2018-04-04,2044.0,2.88,1.96
2018-04-04,2062.0,0.73,2.16
2018-04-04,2062.0,2.92,1.96
2018-04-04,2080.0,0.7,2.02
2018-04-04,2080.0,2.8,1.65
2018-04-04,2099.0,0.66,1.92
2018-04-04,2099.0,2.64,1.73
2018-04-04,2120.0,0.56,1.55
2018-04-04,2120.0,2.24,1.43
2018-04-04,2142.0,0.36,0.54
2018-04-04,2142.0,1.44,0.39
2018-04-04,2164.0,0.16,0.32
2018-04-04,2164.0,0.64,0.19
