,Year,Month,Day,水日通量,沙日通量
2016-04-02,2016,4,2,57110400.0,86807808.0
2016-04-03,2016,4,3,58752000.0,128079360.00000001
2016-04-04,2016,4,4,60393600.0,144944640.0
2016-04-05,2016,4,5,62899200.0,139007232.0
2016-04-06,2016,4,6,62035200.0,140199552.0
2016-04-07,2016,4,7,62035200.0,150125184.0
2016-04-08,2016,4,8,62035200.0,131514624.0
2016-04-09,2016,4,9,62035200.0,116005824.0
2016-04-10,2016,4,10,60393600.0,91798272.0
2016-04-11,2016,4,11,58752000.0,94003200.0
2016-04-12,2016,4,12,62035200.0,106080192.0
2016-04-13,2016,4,13,57888000.0,56730240.0
2016-04-14,2016,4,14,54604800.0,70986240.0
2016-04-15,2016,4,15,53827200.0,83970432.0
2016-04-16,2016,4,16,50544000.0,68234400.0
2016-04-17,2016,4,17,52185600.0,69928704.0
2016-04-18,2016,4,18,51321600.0,69284160.0
2016-04-19,2016,4,19,52185600.0,75147264.0
2016-04-20,2016,4,20,51321600.0,84680640.0
2016-04-21,2016,4,21,49766400.0,60217344.0
2016-04-22,2016,4,22,45792000.0,62277120.00000001
2016-04-23,2016,4,23,43372800.0,51179904.0
2016-04-24,2016,4,24,42595200.0,60059232.0
2016-04-25,2016,4,25,47433600.0,49805280.0
2016-04-26,2016,4,26,45792000.0,49455360.0
2016-04-27,2016,4,27,43372800.0,58553280.00000001
2016-04-28,2016,4,28,42595200.0,33181660.8
2016-04-29,2016,4,29,41731200.0,28669334.400000002
2016-04-30,2016,4,30,41040000.0,41860800.0
2016-05-01,2016,5,1,38016000.0,32921856.0
2016-05-02,2016,5,2,36547200.0,30443817.599999998
2016-05-03,2016,5,3,36547200.0,33184857.6
2016-05-04,2016,5,4,33696000.0,33696000.0
2016-05-05,2016,5,5,33091200.0,39378528.0
2016-05-06,2016,5,6,42336000.0,30312576.0
2016-05-07,2016,5,7,40608000.0,27451008.0
2016-05-08,2016,5,8,39052800.0,30929817.6
2016-05-09,2016,5,9,39052800.0,24915686.400000002
2016-05-10,2016,5,10,39830400.0,20950790.400000002
2016-05-11,2016,5,11,37411200.0,30789417.599999998
2016-05-12,2016,5,12,35856000.0,25457760.0
2016-05-13,2016,5,13,34300800.0,23736153.599999998
2016-05-14,2016,5,14,35078400.0,27010368.0
2016-05-15,2016,5,15,35856000.0,21244680.0
2016-05-16,2016,5,16,35078400.0,20976883.2
2016-05-17,2016,5,17,33523200.0,26550374.400000002
2016-05-18,2016,5,18,32832000.0,25247808.0
2016-05-19,2016,5,19,32832000.0,23409216.0
2016-05-20,2016,5,20,32054400.0,17277321.6
2016-05-21,2016,5,21,32054400.0,19937836.8
2016-05-22,2016,5,22,30585600.0,17678476.799999997
2016-05-23,2016,5,23,34473600.0,25441516.8
2016-05-24,2016,5,24,33264000.0,17829504.0
2016-05-25,2016,5,25,32140800.0,17677440.0
2016-05-26,2016,5,26,31017600.0,15291676.799999999
2016-05-27,2016,5,27,28944000.0,13806288.0
2016-05-28,2016,5,28,29980800.0,15050361.6
2016-05-29,2016,5,29,29980800.0,14900457.6
2016-05-30,2016,5,30,28944000.0,14761440.0
2016-05-31,2016,5,31,28944000.0,17279568.0
2016-06-01,2016,6,1,31017600.0,16842556.8
2016-06-02,2016,6,2,29980800.0,15530054.4
2016-06-03,2016,6,3,29980800.0,17658691.2
2016-06-04,2016,6,4,31017600.0,16191187.200000001
2016-06-05,2016,6,5,31017600.0,19386000.0
2016-06-06,2016,6,6,27907200.0,14455929.6
2016-06-07,2016,6,7,27388800.0,13557456.0
2016-06-08,2016,6,8,24192000.0,13644287.999999998
2016-06-09,2016,6,9,25056000.0,12477888.0
2016-06-10,2016,6,10,25056000.0,12001824.0
2016-06-11,2016,6,11,26438400.0,10786867.2
2016-06-12,2016,6,12,25488000.0,13177296.0
2016-06-13,2016,6,13,25488000.0,10934352.0
2016-06-14,2016,6,14,26956800.0,11294899.2
2016-06-15,2016,6,15,24192000.0,9725184.0
2016-06-16,2016,6,16,23328000.0,9774432.0
2016-06-17,2016,6,17,16329600.0,6417532.8
2016-06-18,2016,6,18,17452800.0,7399987.2
2016-06-19,2016,6,19,22291200.0,9562924.8
2016-06-20,2016,6,20,36633600.0,38098944.0
2016-06-21,2016,6,21,49939200.0,80901504.0
2016-06-22,2016,6,22,64713600.0,116484479.99999999
2016-06-23,2016,6,23,65664000.0,97182720.0
2016-06-24,2016,6,24,65664000.0,110972160.0
2016-06-25,2016,6,25,63849600.0,81727488.0
2016-06-26,2016,6,26,59443200.0,69548544.0
2016-06-27,2016,6,27,64713600.0,104188896.0
2016-06-28,2016,6,28,63849600.0,85239216.0
2016-06-29,2016,6,29,63849600.0,97689888.0
2016-06-30,2016,6,30,64713600.0,84127680.0
2016-07-01,2016,7,1,69292800.0,105325056.0
2016-07-02,2016,7,2,59443200.0,75492864.0
2016-07-03,2016,7,3,51580800.0,65507616.0
2016-07-04,2016,7,4,47779200.0,45008006.4
2016-07-05,2016,7,5,51580800.0,48279628.800000004
2016-07-06,2016,7,6,66528000.0,97130880.0
2016-07-07,2016,7,7,66355200.0,120102912.0
2016-07-08,2016,7,8,80784000.0,212461920.0
2016-07-09,2016,7,9,87264000.0,231249600.0
2016-07-10,2016,7,10,72662400.0,127159200.0
2016-07-11,2016,7,11,63244800.0,98029440.0
2016-07-12,2016,7,12,60134400.0,94411008.0
2016-07-13,2016,7,13,60134400.0,96816384.0
2016-07-14,2016,7,14,60912000.0,77358240.0
2016-07-15,2016,7,15,64800000.0,99792000.0
2016-07-16,2016,7,16,65577600.0,90497088.0
2016-07-17,2016,7,17,68688000.0,122264640.0
2016-07-18,2016,7,18,71884800.0,102076416.0
2016-07-19,2016,7,19,74304000.0,109226880.0
2016-07-20,2016,7,20,87264000.0,271391040.0
2016-07-21,2016,7,21,77673600.0,141365952.0
2016-07-22,2016,7,22,78451200.0,137289600.0
2016-07-23,2016,7,23,89856000.0,198581760.0
2016-07-24,2016,7,24,109728000.0,302849280.0
2016-07-25,2016,7,25,119232000.0,385119360.0
2016-07-26,2016,7,26,126144000.0,367079040.0
2016-07-27,2016,7,27,130464000.0,365299200.0
2016-07-28,2016,7,28,117504000.0,225607680.0
2016-07-29,2016,7,29,114048000.0,248624640.00000003
2016-07-30,2016,7,30,99360000.0,193752000.0
2016-07-31,2016,7,31,88992000.0,167304960.0
2016-08-01,2016,8,1,83289600.0,131597568.0
2016-08-02,2016,8,2,84931200.0,157972032.0
2016-08-03,2016,8,3,93312000.0,197821440.0
2016-08-04,2016,8,4,101088000.0,165784320.0
2016-08-05,2016,8,5,102816000.0,161421120.0
2016-08-06,2016,8,6,88128000.0,169205760.0
2016-08-07,2016,8,7,73785600.0,135765504.0
2016-08-08,2016,8,8,66355200.0,108490752.0
2016-08-09,2016,8,9,62899200.0,81768960.0
2016-08-10,2016,8,10,62899200.0,81768960.0
2016-08-11,2016,8,11,65491200.0,74659968.0
2016-08-12,2016,8,12,50544000.0,52565760.0
2016-08-13,2016,8,13,43286400.0,40083206.4
2016-08-14,2016,8,14,38793600.0,26030505.6
2016-08-15,2016,8,15,36547200.0,24303888.0
2016-08-16,2016,8,16,38793600.0,24052032.0
2016-08-17,2016,8,17,38793600.0,25409808.0
2016-08-18,2016,8,18,40176000.0,30252528.0
2016-08-19,2016,8,19,37324800.0,26090035.2
2016-08-20,2016,8,20,29980800.0,14090976.0
2016-08-21,2016,8,21,29980800.0,12981686.4
2016-08-22,2016,8,22,29203200.0,13199846.4
2016-08-23,2016,8,23,29203200.0,15419289.600000001
2016-08-24,2016,8,24,28512000.0,14712192.0
2016-08-25,2016,8,25,27129600.0,10851840.0
2016-08-26,2016,8,26,29203200.0,15886540.8
2016-08-27,2016,8,27,27820800.0,14800665.600000001
2016-08-28,2016,8,28,27820800.0,13242700.799999999
2016-08-29,2016,8,29,24969600.0,11361168.0
2016-08-30,2016,8,30,24969600.0,9588326.4
2016-08-31,2016,8,31,26956800.0,12454041.600000001
2016-09-01,2016,9,1,24883200.0,10575360.0
2016-09-02,2016,9,2,24883200.0,9132134.4
2016-09-03,2016,9,3,25401600.0,8458732.8
2016-09-04,2016,9,4,24364800.0,6968332.8
2016-09-05,2016,9,5,23760000.0,5892480.0
2016-09-06,2016,9,6,24364800.0,7991654.4
2016-09-07,2016,9,7,23760000.0,8553600.0
2016-09-08,2016,9,8,22809600.0,7527168.0
2016-09-09,2016,9,9,25747200.0,8033126.4
2016-09-10,2016,9,10,26265600.0,7932211.2
2016-09-11,2016,9,11,24710400.0,7956748.8
2016-09-12,2016,9,12,24278400.0,8691667.2
2016-09-13,2016,9,13,25747200.0,10530604.799999999
2016-09-14,2016,9,14,25747200.0,10556352.0
2016-09-15,2016,9,15,24710400.0,10526630.4
2016-09-16,2016,9,16,24278400.0,7817644.8
2016-09-17,2016,9,17,25228800.0,9586944.0
2016-09-18,2016,9,18,25747200.0,9011520.0
2016-09-19,2016,9,19,24710400.0,9810028.8
2016-09-20,2016,9,20,24710400.0,8475667.200000001
2016-09-21,2016,9,21,24710400.0,10427788.799999999
2016-09-22,2016,9,22,23846400.0,7845465.600000001
2016-09-23,2016,9,23,23846400.0,8847014.4
2016-09-24,2016,9,24,22636800.0,7651238.4
2016-09-25,2016,9,25,22032000.0,9473760.0
2016-09-26,2016,9,26,22032000.0,8526384.0
2016-09-27,2016,9,27,21686400.0,9238406.4
2016-09-28,2016,9,28,23068800.0,10173340.8
2016-09-29,2016,9,29,27475200.0,16869772.8
2016-09-30,2016,9,30,32400000.0,21805200.0
2016-10-01,2016,10,1,31795200.0,22002278.4
2016-10-02,2016,10,2,30585600.0,20492352.0
2016-10-03,2016,10,3,30585600.0,17036179.200000003
2016-10-04,2016,10,4,30585600.0,14864601.6
2016-10-05,2016,10,5,29203200.0,14484787.2
2016-10-06,2016,10,6,28598400.0,15300144.0
2016-10-07,2016,10,7,28080000.0,11821680.0
2016-10-08,2016,10,8,28080000.0,17971200.0
2016-10-09,2016,10,9,28598400.0,27883440.0
2016-10-10,2016,10,10,29203200.0,20529849.599999998
2016-10-11,2016,10,11,28080000.0,12832560.0
2016-10-12,2016,10,12,26956800.0,17818444.8
2016-10-13,2016,10,13,25488000.0,13763520.0
2016-10-14,2016,10,14,28598400.0,20705241.599999998
2016-10-15,2016,10,15,28771200.0,19219161.6
2016-10-16,2016,10,16,30153600.0,19569686.400000002
2016-10-17,2016,10,17,31622400.0,23748422.4
2016-10-18,2016,10,18,30153600.0,20775830.4
2016-10-19,2016,10,19,30153600.0,27409622.400000002
2016-10-20,2016,10,20,28771200.0,26296876.8
2016-10-21,2016,10,21,28425600.0,34110720.0
2016-10-22,2016,10,22,29721600.0,19110988.8
2016-10-23,2016,10,23,36201600.0,25739337.599999998
2016-10-24,2016,10,24,34473600.0,27061776.0
2016-10-25,2016,10,25,33177600.0,26774323.200000003
2016-10-26,2016,10,26,33782400.0,25438147.2
2016-10-27,2016,10,27,36201600.0,27404611.2
2016-10-28,2016,10,28,39225600.0,36048326.4
2016-10-29,2016,10,29,45014400.0,63920448.0
2016-10-30,2016,10,30,41731200.0,52581312.0
2016-10-31,2016,10,31,41040000.0,45554400.00000001
2016-11-01,2016,11,1,41040000.0,41450400.0
2016-11-02,2016,11,2,40348800.0,51646464.0
2016-11-03,2016,11,3,38275200.0,39423456.0
2016-11-04,2016,11,4,38966400.0,31328985.6
2016-11-05,2016,11,5,37584000.0,48483360.0
2016-11-06,2016,11,6,34300800.0,35672832.0
2016-11-07,2016,11,7,37411200.0,27684288.0
2016-11-08,2016,11,8,30931200.0,24126336.0
2016-11-09,2016,11,9,34387200.0,19359993.599999998
2016-11-10,2016,11,10,36201600.0,27187401.6
2016-11-11,2016,11,11,33782400.0,17668195.2
2016-11-12,2016,11,12,28598400.0,15528931.200000001
2016-11-13,2016,11,13,26438400.0,15387148.799999999
2016-11-14,2016,11,14,30326400.0,19408896.0
2016-11-15,2016,11,15,25920000.0,14204160.000000002
2016-11-16,2016,11,16,28080000.0,13955760.0
2016-11-17,2016,11,17,26438400.0,13589337.6
2016-11-18,2016,11,18,32054400.0,21284121.6
2016-11-19,2016,11,19,26438400.0,14779065.600000001
2016-11-20,2016,11,20,26438400.0,16180300.799999999
2016-11-21,2016,11,21,25401600.0,13793068.8
2016-11-22,2016,11,22,20736000.0,13374720.0
2016-11-23,2016,11,23,21859200.0,12153715.200000001
2016-11-24,2016,11,24,25142400.0,15412291.2
2016-11-25,2016,11,25,27302400.0,17910374.400000002
2016-11-26,2016,11,26,27302400.0,18811353.599999998
2016-11-27,2016,11,27,35164800.0,27534038.400000002
2016-11-28,2016,11,28,29462400.0,17500665.599999998
2016-11-29,2016,11,29,23414400.0,14235955.2
2016-11-30,2016,11,30,24364800.0,11646374.4
2016-12-01,2016,12,1,23587200.0,11463379.2
2016-12-02,2016,12,2,23328000.0,10824192.0
2016-12-03,2016,12,3,23328000.0,10684224.0
2016-12-04,2016,12,4,23587200.0,10685001.6
2016-12-05,2016,12,5,22723200.0,9339235.2
2016-12-06,2016,12,6,22291200.0,12460780.8
2016-12-07,2016,12,7,23155200.0,11855462.4
2016-12-08,2016,12,8,22896000.0,12569904.000000002
2016-12-09,2016,12,9,23155200.0,11762841.6
2016-12-10,2016,12,10,23328000.0,14603328.0
2016-12-11,2016,12,11,23155200.0,12735360.000000002
2016-12-12,2016,12,12,23587200.0,10000972.799999999
2016-12-13,2016,12,13,22896000.0,12684384.000000002
2016-12-14,2016,12,14,23328000.0,13833504.0
2016-12-15,2016,12,15,22896000.0,11951712.0
2016-12-16,2016,12,16,22291200.0,14154912.0
2016-12-17,2016,12,17,22032000.0,11016000.0
2016-12-18,2016,12,18,21859200.0,10623571.2
2016-12-19,2016,12,19,20131200.0,8837596.8
2016-12-20,2016,12,20,18748800.0,7911993.6
2016-12-21,2016,12,21,18403200.0,7177248.0
2016-12-22,2016,12,22,18403200.0,7802956.8
2016-12-23,2016,12,23,18748800.0,7068297.6
2016-12-24,2016,12,24,19094400.0,6912172.8
2016-12-25,2016,12,25,19094400.0,7389532.8
2016-12-26,2016,12,26,19440000.0,5987520.0
2016-12-27,2016,12,27,19785600.0,5975251.2
2016-12-28,2016,12,28,19612800.0,5589647.999999999
2016-12-29,2016,12,29,19440000.0,8262000.0
2016-12-30,2016,12,30,18748800.0,7780752.0
2016-12-31,2016,12,31,18662400.0,7623590.399999999
2017-01-01,2017,1,1,18446400.0,8992620.0
2017-01-02,2017,1,2,17625600.0,10240473.6
2017-01-03,2017,1,3,16675200.0,7820668.8
2017-01-04,2017,1,4,16329600.0,6801278.399999999
2017-01-05,2017,1,5,16070400.0,6733497.6
2017-01-06,2017,1,6,15897600.0,7058534.4
2017-01-07,2017,1,7,15897600.0,7440076.800000001
2017-01-08,2017,1,8,17625600.0,9323942.4
2017-01-09,2017,1,9,17452800.0,9284889.6
2017-01-10,2017,1,10,17452800.0,9180172.8
2017-01-11,2017,1,11,17452800.0,8429702.4
2017-01-12,2017,1,12,17625600.0,9094809.6
2017-01-13,2017,1,13,17798400.0,9237369.6
2017-01-14,2017,1,14,17798400.0,9628934.4
2017-01-15,2017,1,15,17452800.0,8098099.2
2017-01-16,2017,1,16,17366400.0,9916214.399999999
2017-01-17,2017,1,17,17193600.0,7874668.800000001
2017-01-18,2017,1,18,17193600.0,8854704.0
2017-01-19,2017,1,19,17193600.0,7530796.8
2017-01-20,2017,1,20,17020800.0,6570028.8
2017-01-21,2017,1,21,16934400.0,9076838.4
2017-01-22,2017,1,22,16761600.0,8179660.8
2017-01-23,2017,1,23,16502400.0,5841849.6
2017-01-24,2017,1,24,16243200.0,7082035.2
2017-01-25,2017,1,25,16156800.0,6656601.6
2017-01-26,2017,1,26,15897600.0,7440076.800000001
2017-01-27,2017,1,27,15897600.0,8091878.4
2017-01-28,2017,1,28,15552000.0,8133696.0
2017-01-29,2017,1,29,15465600.0,6882192.0
2017-01-30,2017,1,30,15638400.0,7052918.4
2017-01-31,2017,1,31,15638400.0,6255360.0
2017-02-01,2017,2,1,15638400.0,7412601.6
2017-02-02,2017,2,2,15724800.0,8507116.8
2017-02-03,2017,2,3,15811200.0,6403536.0
2017-02-04,2017,2,4,15724800.0,6714489.6
2017-02-05,2017,2,5,15811200.0,6814627.2
2017-02-06,2017,2,6,15811200.0,6956928.0
2017-02-07,2017,2,7,16243200.0,9112435.200000001
2017-02-08,2017,2,8,16934400.0,11481523.200000001
2017-02-09,2017,2,9,17452800.0,12216960.0
2017-02-10,2017,2,10,18489600.0,11371104.0
2017-02-11,2017,2,11,18662400.0,12615782.4
2017-02-12,2017,2,12,18921600.0,9744624.0
2017-02-13,2017,2,13,18489600.0,11648448.0
2017-02-14,2017,2,14,18057600.0,8053689.600000001
2017-02-15,2017,2,15,18662400.0,15340492.799999999
2017-02-16,2017,2,16,21600000.0,18813600.0
2017-02-17,2017,2,17,25833600.0,22268563.2
2017-02-18,2017,2,18,27388800.0,31223231.999999996
2017-02-19,2017,2,19,31363200.0,39517632.0
2017-02-20,2017,2,20,28771200.0,22441536.0
2017-02-21,2017,2,21,32745600.0,30453408.0
2017-02-22,2017,2,22,37238400.0,38727936.0
2017-02-23,2017,2,23,40003200.0,50804064.0
2017-02-24,2017,2,24,39657600.0,53934336.00000001
2017-02-25,2017,2,25,39312000.0,47960640.0
2017-02-26,2017,2,26,38966400.0,49876992.0
2017-02-27,2017,2,27,35164800.0,41494464.0
2017-02-28,2017,2,28,37497600.0,40122432.0
2017-03-01,2017,3,1,35856000.0,33740496.0
2017-03-02,2017,3,2,41040000.0,48016800.0
2017-03-03,2017,3,3,36547200.0,27008380.8
2017-03-04,2017,3,4,35856000.0,32593104.0
2017-03-05,2017,3,5,38880000.0,43156800.00000001
2017-03-06,2017,3,6,44064000.0,63452160.0
2017-03-07,2017,3,7,48211200.0,84851712.0
2017-03-08,2017,3,8,46656000.0,70917120.0
2017-03-09,2017,3,9,47433600.0,55022975.99999999
2017-03-10,2017,3,10,43632000.0,42192144.0
2017-03-11,2017,3,11,44064000.0,53758080.0
2017-03-12,2017,3,12,41472000.0,46033920.00000001
2017-03-13,2017,3,13,43286400.0,43719264.0
2017-03-14,2017,3,14,44409600.0,39036038.4
2017-03-15,2017,3,15,45532800.0,47354112.0
2017-03-16,2017,3,16,48729600.0,71632512.0
2017-03-17,2017,3,17,48124800.0,60156000.0
2017-03-18,2017,3,18,47865600.0,57438720.0
2017-03-19,2017,3,19,48729600.0,63348480.0
2017-03-20,2017,3,20,49852800.0,55336608.00000001
2017-03-21,2017,3,21,49593600.0,68439168.0
2017-03-22,2017,3,22,48124800.0,64005984.0
2017-03-23,2017,3,23,48124800.0,61599744.0
2017-03-24,2017,3,24,51062400.0,55658016.00000001
2017-03-25,2017,3,25,48470400.0,84338496.0
2017-03-26,2017,3,26,47606400.0,88547904.0
2017-03-27,2017,3,27,47260800.0,72309024.0
2017-03-28,2017,3,28,51667200.0,54767232.0
2017-03-29,2017,3,29,47865600.0,84243456.0
2017-03-30,2017,3,30,47865600.0,61746624.0
2017-03-31,2017,3,31,49334400.0,81895104.0
2017-04-01,2017,4,1,56851200.0,116544959.99999999
2017-04-02,2017,4,2,56851200.0,73906560.0
2017-04-03,2017,4,3,58147200.0,109316736.0
2017-04-04,2017,4,4,56160000.0,85363200.0
2017-04-05,2017,4,5,60134400.0,117863424.0
2017-04-06,2017,4,6,59529600.0,119654495.99999999
2017-04-07,2017,4,7,58838400.0,117088416.0
2017-04-08,2017,4,8,62208000.0,115084800.0
2017-04-09,2017,4,9,62899200.0,88058880.0
2017-04-10,2017,4,10,64886400.0,106413696.0
2017-04-11,2017,4,11,65577600.0,124597440.0
2017-04-12,2017,4,12,66960000.0,147981600.0
2017-04-13,2017,4,13,69033600.0,133925184.0
2017-04-14,2017,4,14,69033600.0,132544512.0
2017-04-15,2017,4,15,70416000.0,138015360.0
2017-04-16,2017,4,16,69724800.0,141541344.0
2017-04-17,2017,4,17,76032000.0,171072000.0
2017-04-18,2017,4,18,73872000.0,169905600.0
2017-04-19,2017,4,19,72489600.0,142079616.0
2017-04-20,2017,4,20,73872000.0,121150080.0
2017-04-21,2017,4,21,73872000.0,153653760.0
2017-04-22,2017,4,22,74649600.0,153778176.0
2017-04-23,2017,4,23,79488000.0,137514240.0
2017-04-24,2017,4,24,82771200.0,180441216.0
2017-04-25,2017,4,25,78710400.0,179459711.99999997
2017-04-26,2017,4,26,82771200.0,194512320.0
2017-04-27,2017,4,27,81907200.0,143337600.0
2017-04-28,2017,4,28,77155200.0,138879360.0
2017-04-29,2017,4,29,72576000.0,104509440.0
2017-04-30,2017,4,30,69552000.0,102241440.0
2017-05-01,2017,5,1,64454400.0,76056192.0
2017-05-02,2017,5,2,62380800.0,69866496.0
2017-05-03,2017,5,3,57628800.0,63967968.00000001
2017-05-04,2017,5,4,64584000.0,81375840.0
2017-05-05,2017,5,5,64972800.0,83165184.0
2017-05-06,2017,5,6,65664000.0,73543680.0
2017-05-07,2017,5,7,62035200.0,81886464.0
2017-05-08,2017,5,8,61344000.0,73612800.0
2017-05-09,2017,5,9,63504000.0,87000480.0
2017-05-10,2017,5,10,63504000.0,91445760.0
2017-05-11,2017,5,11,59875200.0,77837760.0
2017-05-12,2017,5,12,59184000.0,60367680.0
2017-05-13,2017,5,13,58406400.0,60158592.0
2017-05-14,2017,5,14,56937600.0,62061984.00000001
2017-05-15,2017,5,15,56160000.0,55935360.0
2017-05-16,2017,5,16,60048000.0,73859040.0
2017-05-17,2017,5,17,59356800.0,71228160.0
2017-05-18,2017,5,18,58147200.0,55821312.0
2017-05-19,2017,5,19,55123200.0,52201670.4
2017-05-20,2017,5,20,54604800.0,57881088.0
2017-05-21,2017,5,21,55728000.0,55728000.0
2017-05-22,2017,5,22,54604800.0,49526553.6
2017-05-23,2017,5,23,53481600.0,58294944.00000001
2017-05-24,2017,5,24,53481600.0,66317184.0
2017-05-25,2017,5,25,51926400.0,46837612.800000004
2017-05-26,2017,5,26,53481600.0,51288854.4
2017-05-27,2017,5,27,52444800.0,62933760.0
2017-05-28,2017,5,28,51408000.0,53978400.0
2017-05-29,2017,5,29,51408000.0,43028496.0
2017-05-30,2017,5,30,51926400.0,50991724.8
2017-05-31,2017,5,31,52963200.0,54022464.0
2017-06-01,2017,6,1,50025600.0,48925036.8
2017-06-02,2017,6,2,49507200.0,47279376.0
2017-06-03,2017,6,3,49075200.0,54964224.00000001
2017-06-04,2017,6,4,49075200.0,46523289.599999994
2017-06-05,2017,6,5,51926400.0,48499257.6
2017-06-06,2017,6,6,49507200.0,46091203.2
2017-06-07,2017,6,7,50976000.0,56583360.00000001
2017-06-08,2017,6,8,51667200.0,74400768.0
2017-06-09,2017,6,9,52444800.0,54542592.0
2017-06-10,2017,6,10,53395200.0,53929152.0
2017-06-11,2017,6,11,53395200.0,56598912.0
2017-06-12,2017,6,12,51667200.0,57867264.00000001
